,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
AZU1,0.44073041699662746,1.0877029988972374e-59,2.85848348110194e-56,0.3937451799580382,0.48541869053688297
ELANE,0.3996249959965444,4.087050096596286e-48,5.37038382692752e-45,0.3507426479791454,0.4463355653239427
GAPDH,0.3837464808985071,4.255210979186405e-44,3.727564817767291e-41,0.33418631650837366,0.4311903731751409
HSPB1,0.3762937508435215,2.712427712367461e-42,1.782065007025422e-39,0.3264259795948674,0.4240726038310092
STMN1,0.3625873668912052,4.1835329010729626e-39,2.1988648928039492e-36,0.3121714025209057,0.4109668206432595
MKI67,0.35560138223082477,1.52528068986718e-37,5.726339504244213e-35,0.3049147334037948,0.4042792528712243
LGALS1,0.35483007939239986,2.255404175386914e-37,7.409002716146013e-35,0.30411390566414986,0.40354057821627076
VIM,0.3539919719739799,3.4454021858677222e-37,1.006057438273375e-34,0.3032437973691113,0.40273785300356757
RETN,0.3397018482590898,3.8408911951857468e-34,1.0093862060948143e-31,0.2884210545394845,0.3890394640691939
KIAA0101,0.3351148579139362,3.365281482346215e-33,8.03996339600532e-31,0.28366830396830783,0.38463778421005834
AREGB,0.3277657019657032,1.0047975193924369e-31,2.0312368315102494e-29,0.276058836643209,0.3775808298932004
S100A4,0.32013653954792143,3.0786621610050717e-30,5.393816106080886e-28,0.2681662961238742,0.37024887547212076
MPO,0.31831480881968116,6.864173078923363e-30,1.0611204030241528e-27,0.26628270586828745,0.36849718965191863
CENPF,0.2856648981386048,4.534182183804043e-24,4.964929491265428e-22,0.2325913701135233,0.3370421145908512
RNASE2,0.2822010650130834,1.692621775370436e-23,1.7108500098744254e-21,0.2290245101497932,0.33369829857109773
TSPO,0.28183520883433116,1.943070009970643e-23,1.8237099950724466e-21,0.2286478554537399,0.3333450431291424
UBE2C,0.27422147208405,3.2691205428605603e-22,2.6847652458242352e-20,0.22081300580613394,0.32599025320507674
HIST1H1E,0.27312895532938564,4.864592500770734e-22,3.873984573341058e-20,0.2196893261634547,0.324934379095485
SERPINB10,0.26273225595411964,1.944782728692213e-20,1.50320265029504e-18,0.2090031623470234,0.31487991504160273
MGST1,0.26127032102258363,3.2228639441718545e-20,2.4199104129381812e-18,0.2075015526014428,0.31346516442592726
NKG7,0.25766564850609297,1.1041470724201677e-19,7.636048700842634e-18,0.2038001367769114,0.30997584334064715
MT-ND4,0.24744245261780645,3.2576892178409696e-18,2.08809933280148e-16,0.19331093778092984,0.3000721235130231
HSP90AA1,0.24650027495707955,4.414963656136799e-18,2.6369373837107975e-16,0.1923448674080086,0.29915881765214275
FAM101B,0.23943191712006875,4.140144061036828e-17,2.3652823026966922e-15,0.18510060901799408,0.2923039819510208
EMB,0.2371445702605578,8.408307568352647e-17,4.603548393673074e-15,0.1827576039957345,0.29008456749984624
HSPD1,0.236476732722624,1.0325611713452514e-16,5.5378995067251445e-15,0.1820736324189951,0.28943645678967583
TYROBP,0.2354034987587121,1.434429946113102e-16,7.391533134088692e-15,0.1809745808671271,0.28839482266947136
