,4.0_2_corr,4.0_2_pval,4.0_2_qval,4.0_2_ci_low,4.0_2_ci_high
RPL36,0.2580832475866775,1.0281815447503135e-22,2.0515947670723896e-19,0.2082040941995044,0.30662350629991125
PRTN3,0.25598590506057145,2.3420031587584356e-22,2.0515947670723896e-19,0.20605473159691842,0.30458753449920095
ELANE,0.2359528721041263,4.1242315156733773e-19,2.709620105797409e-16,0.18554907258216552,0.2851182852274027
STMN1,0.22554493838493564,1.5254853507451384e-17,6.681625836263707e-15,0.17491289154190326,0.2749872191063856
CTSG,0.2188496494009956,1.413905131353426e-16,5.308203835995434e-14,0.16807701442618467,0.2684642269838451
PRSS57,0.2164963524100152,3.03844187111174e-16,9.539582843247977e-14,0.1656754619840659,0.26617040862443503
FABP5,0.21627179234676147,3.266980425769855e-16,9.539582843247977e-14,0.1654463287107475,0.2659514948187473
AZU1,0.21370208775791033,7.447312604171526e-16,1.779230683978434e-13,0.1628246821800147,0.2634460370938429
TUBA1B,0.20780579118250297,4.735929389506014e-15,1.0371685363018172e-12,0.15681191678254455,0.2576946200075024
HLA-DQB1,0.20027646285840672,4.6324818357603726e-14,9.257854444294327e-12,0.1491393541834432,0.25034515365916316
MPO,0.20006535879571574,4.9318859292283323e-14,9.257854444294327e-12,0.14892432288651933,0.25013900929135136
H2AFZ,0.1980764323883811,8.866586557364875e-14,1.5534259648503264e-11,0.14689863328510191,0.24819658796840102
HLA-DQA1,0.19122600506021195,6.372287955664589e-13,9.3035404152703e-11,0.13992486703832704,0.24150325123494193
CLEC11A,0.18706953115848665,2.033977580551641e-12,2.8133121482577434e-10,0.1356960370756514,0.23743975828649033
FCER1A,0.18309453499622588,6.017614662758415e-12,7.907145666864559e-10,0.13165359434866275,0.2335520336559245
RP11-620J15.3,0.17561006790219075,4.3407571485055514e-11,5.185231721032995e-09,0.12404677365086102,0.22622750781115084
DUT,0.17287275503143448,8.751403038797826e-11,9.58278632748362e-09,0.12126622486681776,0.22354726032470648
KIAA0101,0.17129344122139492,1.304690829036702e-10,1.3714909994833812e-08,0.11966233411533568,0.2220005221181641
RGCC,0.16379590713024675,8.249182460549708e-10,8.029204261601716e-08,0.1120517997956061,0.21465415221265313
MS4A3,0.16248997605328244,1.1275746945766785e-09,1.0583093919098255e-07,0.1107268066370165,0.2133739623780846
CLEC10A,0.15914824084832083,2.4797999406305914e-09,2.1723047479923982e-07,0.10733713129833554,0.21009730034118324
HSPB1,0.15667763363035095,4.39343918824649e-09,3.724502640874767e-07,0.10483185523611789,0.20767406681153527
CALR,0.15569415366961337,5.502784721796717e-09,4.519161952775554e-07,0.10383475765123436,0.20670927079804963
GAPDH,0.15527017714193944,6.060965882136675e-09,4.826732829774298e-07,0.10340494274227748,0.206293318281632
MT-ND4,0.1540930532133504,7.914615720545266e-09,5.942745746740846e-07,0.10221171073181055,0.2051383754529872
CENPF,0.15361618127923382,8.81300472524394e-09,6.433493449428077e-07,0.10172835564222264,0.20467044897622017
HLA-DPA1,0.14427348453700312,6.769670217426474e-08,4.2358793646182795e-06,0.09226358246998882,0.1954982989946574
NUCB2,0.14089439126160203,1.3713420311462803e-07,7.508097620525885e-06,0.08884264899729823,0.1921786813530609
HSPE1,0.1406446383404835,1.4438397741561916e-07,7.743695768331575e-06,0.08858985234200947,0.1919332777618225
HLA-DPB1,0.13916913174965662,1.9538654835384434e-07,9.682322638845522e-06,0.08709650060322799,0.1904833355383399
HSPD1,0.13908043926704505,1.98951835044771e-07,9.682322638845522e-06,0.0870067429073361,0.19039617259224587
MTRNR2L1,0.1345339353444212,4.951119089054333e-07,2.1330395026286534e-05,0.08240676683404465,0.18592699091016243
UBB,0.13285355978956784,6.882925992272157e-07,2.871163413919243e-05,0.08070719008631949,0.1842746550496513
HLA-DRB1,0.13067887931182975,1.0478912364289558e-06,4.3029033895864e-05,0.07850811018606947,0.18213583095554278
AXL,0.12877263308990075,1.506293640006839e-06,6.0816014121775765e-05,0.07658089380420739,0.18026061456580422
S100B,0.12869918666096059,1.5273428204098935e-06,6.0816014121775765e-05,0.07650664721019432,0.1801883562073779
CLCN7,0.1273672634961322,1.9617891559990133e-06,7.694898361142398e-05,0.07516031377183621,0.17887788182682968
HSP90AA1,0.12710400423386758,2.0606796827284325e-06,7.963920891485766e-05,0.0748942287951658,0.17861884035702266
LGMN,0.12647617652636395,2.316184442148819e-06,8.821641614445068e-05,0.07425969225461142,0.17800104252862348
CD59,0.12599133216356903,2.534010343823778e-06,9.513398833669841e-05,0.0737696958807696,0.17752391601295664
AP1G2,0.12284398426383271,4.504865803444463e-06,0.00016217516892400068,0.07058951686497182,0.17442607903160823
PTTG1,0.12053664686846034,6.807679365577881e-06,0.0002236322671592334,0.06825878542847469,0.17215438949421163
MT-ATP6,0.12030969658038758,7.086970028827771e-06,0.00022993280537974547,0.0680295649168955,0.1719309158775009
CD63,0.1150231941118786,1.7713708940650984e-05,0.0005608629770606119,0.06269174184952135,0.16672389407942034
CST7,0.10784520851138059,5.7727443389663253e-05,0.0015969233813477373,0.055448862512592324,0.1596492079841379
HLA-DRB5,0.10650062448694118,7.145650961277184e-05,0.001935955744972829,0.05409273549937655,0.15832338205535149
LGALS1,0.10452658808775607,9.730103335105221e-05,0.002460774817145731,0.05210210259841889,0.1563765465158914
SERPINB10,0.10404288187071581,0.00010486132546931351,0.0025997694654090182,0.05161439321278714,0.15589944397255
MT-ND3,0.10336090712577346,0.00011646536766792934,0.0028339906132529473,0.05092681690447685,0.15522673860317995
MTRNR2L8,0.1014659882291978,0.00015537964617858607,0.0036787181095254435,0.04901659453672072,0.1533573228327213
DNAJA4,0.10132059169052611,0.0001588225847747106,0.0037266585070351737,0.04887003961551944,0.15321386779627122
TREX1,0.10052714568210784,0.00017890918255165033,0.004088463754310758,0.048070311967040084,0.1524309782563673
GPR183,0.09835380091779702,0.00024682527440405996,0.0052736326921452815,0.045880105382129575,0.15028621531338643
HSP90AB1,0.09650175910705822,0.00032305840028367907,0.006716908021928896,0.04401409261671478,0.1484581440009108
AGPAT9,0.09475138575440352,0.0004148558930673226,0.008386471438314799,0.042250851814388514,0.14673009883375884
MT-ND1,0.09368699371261527,0.00048202045315709854,0.009383331488124851,0.041178795024944634,0.14567912929022137
PYGO2,0.09208933468230304,0.0006020550721244287,0.011221281769808501,0.0395698580617108,0.14410139722422508
KMT2E-AS1,0.09028422913629408,0.0007708139378528699,0.014067354365814876,0.03775233782776127,0.14231848782016557
C19orf77,0.09021194303554556,0.0007784080996432746,0.014107975764569144,0.03767956181343092,0.14224708353985413
ZBTB48,0.08999588683636552,0.0008015217279926762,0.014427391103868172,0.03746204463154432,0.14203365978864754
HLA-DRA,0.08947879708806554,0.0008594466316708681,0.01505750498687361,0.03694147851032184,0.14152285066096654
TAF4,0.08879910508813459,0.0009414881211074051,0.016385634319670602,0.03625726033838768,0.14085137210415746
BASP1,0.08862554978987211,0.0009635679490839451,0.01655069653720659,0.03608255720378248,0.14067990638397007
MTRNR2L10,0.08822409172082933,0.001016489259385648,0.017310107925279747,0.03567845633199537,0.1402832698399834
AC137934.1,0.08819111327630347,0.001020953854040472,0.017310107925279747,0.03564526155374035,0.14025068672501922
SLBP,0.08630320391772274,0.0013089181526034822,0.021498980656512196,0.03374516107810628,0.13838522069641282
RP11-764K9.1,0.08582166884525683,0.001393492750375777,0.022605549061651495,0.033260577313384075,0.1379093509183366
TOP2A,0.08576244711478039,0.0014042346646350545,0.022640053366017935,0.0332009823450726,0.13785082427503656
RP11-262H14.1,0.08344854866499365,0.0018886733526742015,0.02954424744540358,0.03087279338717256,0.13556379932124135
APOC1,0.08286262004040124,0.002033578064801588,0.03125288394326651,0.030283336610213984,0.1349845875045199
MYB,0.08222304484413676,0.0022033257408801397,0.03347017368227172,0.029639951975416377,0.13435230342943616
HIST1H4C,0.08205213262510459,0.0022508325323262186,0.03399533272961668,0.029468029145943053,0.13418333241267022
RP11-545E17.3,0.08175961399606438,0.002334320680527591,0.034855651979696076,0.02917378806219824,0.13389412914396637
ATP5EP2,0.08141054138049206,0.002437651318822354,0.03551916096811983,0.028822671907819553,0.13354900124104846
ARRB1,0.07953787927707288,0.003066861637730045,0.04333178701050838,0.02693926839931096,0.13169728532403993
R3HDM4,0.07918208717974977,0.0032019447215914645,0.04499845309273994,0.026581477722731655,0.13134543169488644
MKI67,0.07745193589057348,0.00393925210060471,0.053639142592690044,0.02484179980028408,0.12963424508425833
LMNA,0.07729531826594063,0.004013068422383488,0.054362596979504164,0.024684335527138293,0.12947932884670774
NAT1,0.07721094984757897,0.004053350169519523,0.05462668843844773,0.02459951210921759,0.12939587589354382
KLHL9,0.07630089203084284,0.004511746631440911,0.06018512805160064,0.023684594497476782,0.12849564593953833
CLTB,0.07625794303179086,0.0045344959490931985,0.06018512805160064,0.02364141832449445,0.1284531586280528
RP11-1143G9.4,0.07591682623684136,0.004718896470400516,0.06231788906639475,0.023298504200611754,0.128115701921734
ATP2A3,0.07558298560252305,0.004905899600352201,0.06414280671505267,0.022962916562863457,0.12778543160152786
PLAC8,0.07510228298061902,0.0051869349319426244,0.0671997640713413,0.022479719231816752,0.127309849595528
VCPIP1,0.07502469697917025,0.0052336317710768784,0.06742149163916684,0.022401732885390185,0.12723308781785772
ATP2B1,0.07458192457024561,0.005507456363164443,0.07060290401168857,0.021956688019537055,0.12679500716953837
MTRNR2L12,0.07444659548764258,0.005593687540525551,0.07101551138406352,0.021820668543892027,0.126661108013769
MTRNR2L6,0.07407056565733071,0.005839714467780766,0.07284804597906325,0.02144273059216007,0.1262890414354813
FOLR3,0.0738661882367512,0.005977480804051682,0.07409820543890482,0.021237322390213524,0.12608681193440652
BRD9,0.07367009149400167,0.006112407133404073,0.07494978492328977,0.021040240806475086,0.12589277200459228
ATF3,0.0736423183119577,0.006131736589995167,0.07494978492328977,0.021012328472067892,0.12586528980592143
HSPH1,0.0734546979544082,0.006263762110303256,0.07620910567535628,0.02082377022679656,0.12567963307241398
CX3CR1,0.07331531088178773,0.006363495054447438,0.07706573734141875,0.020683688801849856,0.12554170244867915
SENP1,0.07266549228459725,0.006847534250592719,0.08069650228949626,0.02003066042546144,0.1248986471269846
RAB3IP,0.07262422027786113,0.006879364645144892,0.08070968878321776,0.01998918607234124,0.12485780319482498
SDHAF1,0.0718792142884227,0.007477222903459861,0.08543539908822834,0.019240558650697136,0.12412049398951536
LGALS2,0.0708876418163459,0.008344989129435777,0.0933218358815201,0.018244257750221746,0.12313907612782574
CEACAM4,0.07079809997329498,0.008427615232609742,0.09384649504787458,0.01815429406278027,0.12305044624356132
DGAT1,0.0705522647975596,0.008658232449529967,0.09575349057666484,0.017907305105185404,0.12280711054503578
TMEM116,0.07053804862926019,0.008671739253137835,0.09575349057666484,0.017893022412449836,0.12279303872444873
SDC3,0.07016867337239341,0.00902933962474152,0.09928495620845487,0.017521926198738224,0.12242740665364282
HNRNPH1,0.06933059851572546,0.0098898785137941,0.1060840846295955,0.01668000045185037,0.12159777209731105
FBXL6,0.06884656584122206,0.0104194625059555,0.11024394455121317,0.0161937776948519,0.12111858087191903
CD74,0.06882334724756267,0.010445487896975676,0.11024394455121317,0.01617045467088669,0.12109559390564749
FBXL17,0.06814792303131098,0.011228277818714357,0.11684075293826389,0.015492017673550185,0.12042688314622425
CTC-425F1.4,0.06813420486639668,0.01124470174290087,0.11684075293826389,0.015478238820067816,0.12041330084298676
ACOT8,0.06794785712387322,0.011469924038811648,0.11820768774116475,0.015291068664165899,0.12022879670858941
ATOX1,0.06773843038347678,0.011727803390882736,0.11992477553011607,0.015080722059288919,0.12002143759508122
DDIT4,0.06749557427452776,0.012033266065680333,0.12235550779938252,0.014836805090151176,0.11978097344192738
C2CD3,0.06747565603429487,0.012058628812800636,0.12235550779938252,0.014816800119824745,0.11976125110964696
LONP1,0.06705997140680585,0.012598845149777074,0.12685733737016916,0.014399315094901124,0.1193496455746564
C1orf228,0.06626334075788065,0.013694208143161982,0.13580520377445165,0.0135992854164359,0.11856078199041543
PCNXL3,0.06616242165492181,0.01383879959364558,0.13672317794022776,0.013497940527931533,0.11846084212642657
ZSCAN16-AS1,0.0658800292234085,0.014250573648714416,0.13922121765361148,0.013214362410547296,0.11818118417639133
SLC30A1,0.06558299265560079,0.014695312440563248,0.14094628136423437,0.012916087812252012,0.11788701493968289
