,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
C19orf77,0.5472193531595925,6.278141921848515e-275,1.6511513254461594e-271,0.522965787380327,0.5705874945721803
PRSS57,0.5388873027010999,1.5482765248025147e-264,2.035983630115307e-261,0.5143275215975898,0.5625638868026486
IGLL1,0.528562810231845,4.099367754120119e-252,3.593779064445304e-249,0.503630497813623,0.5526154037113357
SPINK2,0.4651879675541029,1.2564736914216451e-185,8.261314521097317e-183,0.4381360082666661,0.49139808285879716
MPO,0.4210690679025485,8.615528497915631e-148,4.531767989903622e-145,0.39271044214446843,0.44862770414086767
ELANE,0.39647721358466564,3.021639506350759e-129,1.3244853169504159e-126,0.3674501718644451,0.42473259760517784
CTSG,0.39537072248591687,1.8843676635759643e-128,7.079838507435409e-126,0.3663146118249669,0.42365652980461094
RP11-620J15.3,0.3883781099006036,1.670645195982454e-123,5.492246081792318e-121,0.35914029554621013,0.41685433418920187
MS4A3,0.3862084640466494,5.391308558414383e-122,1.4179141508629826e-119,0.35691497343054523,0.4147431217928258
PRTN3,0.38535961603844926,2.0827495653902196e-121,4.979664869978434e-119,0.35604443322637935,0.41391705155866076
STMN1,0.3715926621340809,3.788793839978751e-112,8.30377316595343e-110,0.3419327677287874,0.4005129463567359
AZU1,0.35867045290601496,6.88266803360573e-104,1.2929583520273622e-101,0.3286991582039537,0.3879200494433803
NUCB2,0.35099140283698727,3.5819800741073536e-99,6.280405063268227e-97,0.3208406289174943,0.38043151752596543
MYB,0.3491543045338081,4.5889339517531116e-98,7.543060183194177e-96,0.31896120805628897,0.3786394253904645
KIAA0101,0.3365237451219384,1.1599547856928426e-90,1.79451828610128e-88,0.3060460946188818,0.3663123076416655
CLEC11A,0.30622777126900036,2.34259110108174e-74,3.422785886580542e-72,0.2751132400819798,0.3367014950340532
FABP5,0.30489407023588805,1.102065171555695e-73,1.5254902111534095e-71,0.2737529807957404,0.33539656990793726
HSPB1,0.2707618553492753,1.0512666001492085e-57,1.3165862659011515e-55,0.23898342307197704,0.30196091509173756
CST7,0.26418197288259393,6.892058733101213e-55,8.239142940025542e-53,0.2322900317250447,0.29550647618455356
RNASE3,0.253802026166232,1.3023185456628467e-50,1.4891729456927333e-48,0.2217371591024078,0.2853186029692828
MKI67,0.24971921339096392,5.515553184682181e-49,5.802361950285654e-47,0.21758838541989922,0.28130938712194015
PTTG1,0.24704054071113166,6.197666577381544e-48,6.036986332782763e-46,0.21486706739093317,0.27867840102894564
C1orf228,0.2455007071541078,2.4559627980091285e-47,2.2273041926772442e-45,0.21330294528528693,0.2771657650955126
CENPF,0.24480251101865913,4.570203304342457e-47,4.006544896806887e-45,0.212593790542028,0.2764798492674636
TOP2A,0.23836757087352103,1.270516676504432e-44,1.04420589350208e-42,0.20605944714688193,0.27015657099898566
