,4.0_2_corr,4.0_2_pval,4.0_2_qval,4.0_2_ci_low,4.0_2_ci_high
MT-ND4,0.21753908127101737,3.0964204994833747e-42,8.143585913641275e-39,0.187028075849263,0.24763078652277334
S100A4,0.2013668239884274,2.83331137803307e-36,3.7258044621134875e-33,0.17065475645827127,0.23168800552511887
RPL36,0.191512163097589,6.867813551990833e-33,6.020783213911963e-30,0.1606858867696481,0.2219651842504232
TYROBP,0.17575170886949512,7.377378833613054e-28,4.850626583100583e-25,0.1447558413181863,0.2064029820385283
MT-ND1,0.1663007841417115,4.6085105186466885e-25,2.4240765328081584e-22,0.13521091988633738,0.1970634977376466
MT-ATP6,0.16056279912316915,1.9106715861742376e-23,8.375110452730408e-21,0.12941868006542406,0.19139044675320074
MMP9,0.15580035213265958,3.788631702222882e-22,1.4234430538351686e-19,0.12461281588259943,0.18668032935413412
MT-ND3,0.1520209003388038,3.792719684506477e-21,1.2468565962815044e-18,0.12079994962169917,0.1829413954218432
LGALS1,0.14365486739383493,5.044042657723197e-19,1.4739813544235566e-16,0.11236322706993176,0.17466186857647417
MT-ND2,0.13286612657411206,1.8150408428640963e-16,4.7735574167325737e-14,0.10148998209846749,0.1639782076774393
MT-ND4L,0.11902270717456082,1.7432099851417552e-13,4.167856600838924e-11,0.08754910417920254,0.15025892091676102
CTSK,0.1184944974762927,2.23150080959554e-13,4.890705941030225e-11,0.08701741991123182,0.14973520924912181
GAPDH,0.103134112391549,1.8165326530562168e-10,3.412486341098464e-08,0.07156383297533916,0.1344979563849463
VIM,0.0966894496131459,2.2997433245048976e-09,3.7802030896549257e-07,0.06508457649441789,0.12810053542111313
APOC1,0.09367395079908718,7.139148451276833e-09,1.0663491616779906e-06,0.06205380596757185,0.1251062433743795
MTRNR2L1,0.09361435686634319,7.29820719019157e-09,1.0663491616779906e-06,0.06199391610240826,0.12504706277102248
LGALS2,0.0865030617843502,9.18003401150708e-08,1.1496899738220771e-05,0.054848942073362,0.11798348373844478
CST3,0.08417306744408125,2.0181263493899455e-07,2.4125783176797987e-05,0.05250861778006819,0.11566843031598796
MTRNR2L8,0.07581595319999607,2.875567001596461e-06,0.0002908746620845651,0.04411731265039954,0.1073620898443861
MTRNR2L2,0.07547630673823964,3.185690724291788e-06,0.000310309874255089,0.0437763711742625,0.1070244137577338
RIPK3,0.07283438762588304,6.962954866503458e-06,0.0005907281064162611,0.041124630941252724,0.10439757258606489
AIFM3,0.0721840716212068,8.407159105191601e-06,0.0006909633889579348,0.040471965944163545,0.10375090050932628
MTRNR2L12,0.06736942667145289,3.2316980753938085e-05,0.00217932459956044,0.03564077179430772,0.09896240316996818
ANKRD52,0.06666055841593295,3.911815273264791e-05,0.0024288393340600716,0.03492959219657883,0.09825726107859113
RAB13,0.06662051282627432,3.954031932432732e-05,0.0024288393340600716,0.03488941699290732,0.09821742504163586
SPP1,0.06660443177598714,3.9711061355354784e-05,0.0024288393340600716,0.034873283922566445,0.09820142811263287
SPARC,0.06353590302062953,8.879986140351113e-05,0.0045792869704163585,0.031795131512492004,0.09514865221855416
CSTB,0.06188868509732708,0.00013484199036039685,0.006691215748072523,0.030142995832611433,0.09350964528799047
ACP5,0.06030322243083612,0.00019969124620567133,0.00910624701862081,0.028552963590337637,0.0919319238918096
SCD5,0.059302411999098685,0.00025465550524098366,0.01116239964639645,0.02754935136741728,0.09093591830712573
SCYL3,0.05748206641086265,0.00039260045162843577,0.015885218273581324,0.025724073772273023,0.08912414986511376
RILP,0.05401809816074451,0.0008655010275528365,0.029644684272692356,0.02225130508103805,0.08567592477598665
SLC4A2,0.05284324907638195,0.0011205498353545956,0.035687037231420846,0.02107364528208052,0.08450624292856358
C1QC,0.05281995933162714,0.0011262449012197455,0.035687037231420846,0.021050300709947106,0.08448305473496223
RP11-597D13.9,0.05270549843367203,0.0011546248761789971,0.03615075505179479,0.02093557085822059,0.08436909242673285
A2M,0.051130660550691355,0.001618341802269947,0.045766010107203874,0.0193571174600265,0.08280103040296932
SDF4,0.050769643645203706,0.0017463814545669511,0.047353053001613965,0.018995294046215836,0.08244154470358923
DMXL2,0.05037721979175424,0.0018960721255462337,0.05014275981428972,0.01860200296148527,0.08205077591585255
C1orf56,0.05035078143048614,0.0019065688142315483,0.05014275981428972,0.018575506526706705,0.0820244487094297
TMEM63B,0.04917263410511277,0.002432170846541127,0.060920088822887276,0.017394816634244078,0.0808512097936936
HIST1H2AC,0.049056280382900795,0.002490693581786511,0.06121985158970583,0.017278216616652003,0.0807353360624857
SIGLEC14,0.04831880253910899,0.0028925632875739142,0.06557611985367325,0.016539197793900045,0.08000088060316402
RNASE1,0.04815693757585548,0.002988329875057361,0.06604460144034335,0.016376999256349316,0.07983967440258792
PTMS,0.04798460484062872,0.00309345987956059,0.06614471124588904,0.016204313212981665,0.07966804121055938
CTSS,0.046521194621803034,0.004131514211168023,0.0823172907225144,0.014737979184950142,0.0782104956401534
ZBTB48,0.04645427504582152,0.004185783880188228,0.08275495244224042,0.014670929175973594,0.07814384100655228
RNF135,0.04611769096596025,0.004468670018727858,0.08641619227392842,0.014333693394142477,0.07780858520605996
C1QA,0.04581432286755864,0.004738356101374298,0.09030345323633625,0.014029744102975918,0.07750640816371633
WWC3,0.04458257395728508,0.005991109640664115,0.10529485350653883,0.012795695747695197,0.07627943541475651
MMP14,0.04446228071914787,0.006128190253170442,0.10673602891283616,0.012675183134377734,0.07615960347352996
RAB11FIP2,0.04417912697718725,0.006462067080251388,0.11035867805883864,0.01239151665848204,0.07587753194675215
PANX1,0.04396005897488416,0.006731504154159334,0.11348625593230159,0.012172055478962145,0.0756592977426068
IFI27,0.043700581531611084,0.007063669010691355,0.11683930501961172,0.011912116294600454,0.07540080397170505
RP11-295P9.3,0.043412620081896135,0.007449454574704197,0.12168984802156546,0.011623647446051622,0.0751139291886128
C1QB,0.04324136653097976,0.007687741647460743,0.12404147566148314,0.011452094649054593,0.07494331940083694
ARFGAP1,0.04318469153517138,0.007768091449191791,0.12457366165472201,0.011395321032280723,0.07488685704455506
SETD7,0.041270174924805496,0.010964284323655043,0.16020037650673757,0.009477593339558346,0.07297940410843785
ACSL6,0.041117318363808206,0.01126392525725029,0.1618804558828867,0.009324490483932718,0.07282710151633554
SUSD1,0.041021210364279075,0.01145602405478521,0.16286131494100053,0.009228228390799688,0.07273134106543983
MGRN1,0.040214688350026936,0.013186023809087916,0.18052089120182585,0.008420436469778627,0.07192771257974036
RP11-1143G9.4,0.0397030174166755,0.014399727732595678,0.18655804894939226,0.007907981399351107,0.07141785600089676
MNDA,0.039316508827455986,0.01538079117930869,0.19171317915441638,0.007520891556692796,0.07103270695965169
CD74,0.03879545168301506,0.016796216337267283,0.20376861691753131,0.006999065898718358,0.07051346767010808
CKB,0.03859254535325252,0.01737758054234707,0.20494635348149234,0.006795864984632884,0.07031126458629205
GPNMB,0.038519731666822474,0.01759046459782444,0.2059495562645561,0.006722946225764766,0.07023870262673725
SLC9B2,0.03845055522234732,0.017794827493480353,0.20708139959227137,0.006653670270740637,0.07016976502375379
ITPRIPL2,0.038283283403224205,0.018297600623705557,0.21014274952115988,0.006486159091810715,0.0700030694822676
SLC35F5,0.03823464023686474,0.018446122288670687,0.2109273983443648,0.006437446653800099,0.06995459356675485
TSPO,0.037927978253986125,0.01940695613664247,0.21719274314625403,0.0061303514349697556,0.06964898253702387
IGFBP6,0.03688318750671018,0.0230161043278071,0.244381699945685,0.005084129686655014,0.06860772766252461
HLA-DRB5,0.03683370184213861,0.02320063143789141,0.244381699945685,0.0050345779705376036,0.0685584077572568
BLVRB,0.03675177213090194,0.023508962009984147,0.244381699945685,0.004952539245997302,0.06847675214040007
AREL1,0.036073062605333564,0.026202711667516934,0.26302722017392954,0.004272943109341655,0.06780029687962383
NBPF10,0.035855717352013566,0.027119909646905548,0.2667897235596295,0.004055320143111382,0.06758366734997359
