,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
FCN1,0.23970692040038957,2.976741929201271e-51,3.914415636899672e-49,0.20949909530539176,0.2694576286020735
CTSS,0.23622121665066245,9.073619234032148e-50,1.1363627897859308e-47,0.20596360365892627,0.2660275678207052
NEAT1,0.2288195682679258,1.0630861671180204e-46,1.270871190691088e-44,0.19845885280885195,0.25874156954219896
RGS2,0.22019846461068532,2.8927598191357497e-43,2.9261378170488545e-41,0.18972214604697,0.2502508752444912
DUSP1,0.2192978641450258,6.479517463775525e-43,6.311529973973937e-41,0.18880974747950238,0.24936363119534238
NAMPT,0.2006228777018097,5.179560637969365e-36,4.127952872078615e-34,0.16990196887223755,0.23095422338927168
CD163,0.1978117119862387,4.951117415414126e-35,3.82983494192328e-33,0.16705771802339572,0.2281811536104168
DUSP6,0.1904774510814084,1.5186115422831217e-32,1.0510390411064764e-30,0.15963954786844242,0.22094396359219537
MAFB,0.18590845539809353,4.77560992926799e-31,3.2204754138396956e-29,0.15502003951083415,0.2164337429585078
CLEC7A,0.1773541934517315,2.385288530954587e-28,1.493644961050134e-26,0.1463748360305635,0.20798601735538239
MS4A7,0.17156915415873672,1.3347397929181254e-26,7.800812567499266e-25,0.14053097620364172,0.20227043466332872
SERPINA1,0.1713846621276038,1.513986084310171e-26,8.656050873338586e-25,0.14034464389114518,0.20208812326909711
SLC11A1,0.16985336848331137,4.284791204420854e-26,2.397659759069542e-24,0.13879816066947664,0.2005748468945263
JUNB,0.16797300626936895,1.5165052603818537e-25,8.309185072508907e-24,0.1368993534775838,0.1987164085449615
CLEC4E,0.1639672367666674,2.131320614576038e-24,1.1210746432669959e-22,0.1328550515462893,0.19475660651993015
RHOB,0.16233411569503592,6.140595550353263e-24,3.1057242879671314e-22,0.1312065183474464,0.19314193798748802
NR4A2,0.15992230077747022,2.8710686068656e-23,1.4247000822748168e-21,0.12877225740307596,0.19075706880521778
FOS,0.1569458332102981,1.8629004694462573e-22,8.748978990435101e-21,0.125768606179397,0.18781335360629794
ZFP36,0.15398736537817376,1.152397225034273e-21,5.317201231298488e-20,0.12278368539615468,0.1848868904715605
FOSB,0.15341013428345138,1.6375034947104118e-21,7.299379984895565e-20,0.12220135883934895,0.18431583996395598
SAT1,0.1513209933179373,5.773175758537835e-21,2.5305753741590844e-19,0.12009395574213622,0.182248893628663
IFITM3,0.15053226456250976,9.246651521684882e-21,3.986671065906761e-19,0.11929840552410985,0.18146847308963207
RP11-290F20.3,0.150240955974463,1.0996615027326499e-20,4.664693148688499e-19,0.11900458764294199,0.18118022319892835
CST3,0.14703205158071028,7.251495743185146e-20,2.9799115319651458e-18,0.11576840417612533,0.178004659996455
VSIG4,0.14656966135707059,9.483207275394261e-20,3.837051559121063e-18,0.11530213785299066,0.17754702092207408
NR4A1,0.14405002481333093,4.029598879567759e-19,1.5585066254798834e-17,0.11276162192104613,0.17505303869583652
MCL1,0.14358971997182918,5.233946501213937e-19,1.966468471170379e-17,0.1122975468764337,0.1745973775787841
TSC22D3,0.14346610326626993,5.613896126248924e-19,2.0795136354978408e-17,0.11217291999293331,0.17447500570171057
VCAN,0.14282146551149152,8.082383043903435e-19,2.9523149174258384e-17,0.11152303030361012,0.17383684397002197
C5AR1,0.14179440784878586,1.4394293743220343e-18,5.185889389680754e-17,0.11048766039059867,0.17282005030053438
KLF6,0.14154796451602752,1.652178655746136e-18,5.871932249476132e-17,0.11023923263469348,0.1725760599835798
