,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
C19orf77,0.5617092937471452,0.0,0.0,0.5395433082442239,0.5830971816206735
PRSS57,0.5541537432609799,0.0,0.0,0.5317202222116405,0.5758101843742499
IGLL1,0.5480891005712528,0.0,0.0,0.5254436041687394,0.5699586119883847
MPO,0.4962826381671058,1.50799976677819e-246,9.9150984665666e-244,0.47192663858105127,0.5198817016034607
PRTN3,0.4873717171645606,4.168114568571128e-236,2.1924282630684133e-233,0.46273956019798435,0.51125189089088
SPINK2,0.48059848193977983,2.1242605095903992e-228,9.311341900371249e-226,0.45575995388784,0.5046891061154178
AZU1,0.4717563658832434,1.259669824772267e-218,4.732759484501517e-216,0.4466530249540802,0.4961175304145589
CTSG,0.46796728461934795,1.5518513465008066e-214,5.101711301621402e-212,0.44275205583259103,0.49244292887606655
ELANE,0.4665344422462602,5.28152375479728e-213,1.5433786083463163e-210,0.44127715171642923,0.49105314964302377
MYB,0.4545869302246398,1.5271706359238234e-200,4.016458772479656e-198,0.4289842254631805,0.47945985095990706
MS4A3,0.4533946840728475,2.4965158144024325e-199,5.968942356253088e-197,0.42775803046936045,0.47830247526633984
STMN1,0.42705739080045124,7.556274187430085e-174,1.6560834260784268e-171,0.40069483443499215,0.45271340135753024
RP11-620J15.3,0.4155293568451869,1.8641399457758744e-163,3.771298505685039e-161,0.3888635243190336,0.4414995557757943
KIAA0101,0.40397679286876426,1.76171106956564e-153,3.309500080684024e-151,0.3770158557329265,0.4302537040046323
NUCB2,0.3920458964642264,1.272362797230058e-143,2.2308761044767015e-141,0.36478944451138884,0.4186309965801524
HSPB1,0.28180070699386195,3.295308251481503e-71,5.098035706703737e-69,0.25225657953754066,0.3108199498402406
FABP5,0.2657468801572016,3.811224656687531e-63,5.011760423544103e-61,0.23593600958036387,0.29505804623514664
PTTG1,0.25794716749857227,1.9707512231572212e-59,2.4681312937635672e-57,0.22801276585561683,0.287394401295731
CLEC11A,0.2565820058091747,8.533759914885504e-59,1.020172208006767e-56,0.22662639043036456,0.2860526673323131
SERPINB10,0.2523020711030708,7.959823918349919e-57,9.101885610982732e-55,0.2222807349712252,0.2818454319390446
KIAA0125,0.25207140916494847,1.013809901634268e-56,1.1109666838742187e-54,0.22204656496243333,0.2816186557731482
UBE2C,0.2506069749834243,4.6805335903338e-56,4.9239213370311575e-54,0.22055993942135912,0.2801788147039359
HBB,0.23999959251374,2.2284155920195276e-51,2.2541280796197533e-49,0.2097959837355974,0.2697455943862542
PLAC8,0.23163300734960424,7.468520846240609e-48,7.274892528004741e-46,0.2013110627804068,0.2615114500752149
TOP2A,0.2223551818381451,4.1307217271458473e-44,3.879927907997707e-42,0.1919073308101217,0.2523754019763523
CENPF,0.22112317407432436,1.2589999097558473e-43,1.1417826767785789e-41,0.19065902421816597,0.2511618182238784
HIST1H4C,0.21516459902796722,2.501864812088201e-41,2.1933014852639895e-39,0.18462301054099467,0.24529101724819552
DUT,0.20982320083791675,2.505340750781634e-39,2.125498765985709e-37,0.17921415234257645,0.2400264228125231
CST7,0.20616061961024848,5.475196301520905e-38,4.499926960312494e-36,0.17550638309978636,0.2364154786521394
MGST1,0.2042627404351811,2.643967373526162e-37,2.107161876476911e-35,0.17358543036798665,0.23454402803950694
MKI67,0.19511646996921386,4.1731428923822255e-34,3.228048766754486e-32,0.1643312357597792,0.22552197381941538
HSPD1,0.1949440080627319,4.7777994355022015e-34,3.5901750043916546e-32,0.16415679087816348,0.22535180402235944
RNASE3,0.19318904664106457,1.879274280321481e-33,1.3358084749312148e-31,0.16238176031924423,0.22362006145672114
RNASE2,0.19050301539039388,1.4892119624825848e-32,1.0306914371918942e-30,0.15966539860448242,0.2209691953793184
IGLL5,0.18967611873747642,2.7986627194228873e-32,1.8873033210467164e-30,0.1588292586948021,0.2201530337184457
TUBA1B,0.1880218332886183,9.79990250388253e-32,6.443435896302764e-30,0.157156614030915,0.2185200965571868
C1orf228,0.1847461913016411,1.13164784884369e-30,7.086271053473583e-29,0.1538451414365126,0.2152862221836655
SELL,0.1716630784258978,1.2517341474114025e-26,7.004384697216997e-25,0.14062583819641217,0.2023632479582317
CALR,0.16146626725417473,1.0726365113354914e-23,5.757212295535393e-22,0.130330549870373,0.19228382741234032
CTC-425F1.4,0.15952405557077662,3.695171780462371e-23,1.905549369140399e-21,0.12837034195677186,0.1903632379315762
NFE2,0.1594798384211167,3.800010778112147e-23,1.921928528160567e-21,0.12832571793173522,0.19031951029289754
HGF,0.15789271690416307,1.0317201652729115e-22,4.933498244850468e-21,0.12672407563607774,0.18874987815621952
HMGB2,0.15602259504549323,3.3025777084932455e-22,1.523820942690743e-20,0.12483705234277806,0.18690016185287123
PTPRCAP,0.14861332158126658,2.8777599991236126e-20,1.2407391471631313e-18,0.1173630336946349,0.17956958089517885
ATP2A3,0.1477408826164824,4.7979505921601626e-20,2.0029539773620996e-18,0.11648320391347275,0.17870618164487936
H2AFZ,0.14516636942411595,2.129488913596633e-19,8.750868504311164e-18,0.11388716683723374,0.17615806605172252
SEPP1,0.14064563847812267,2.731099472641949e-18,1.0409842917461341e-16,0.10932967422535893,0.17168268290755598
FAM101B,0.1405245502278144,2.9209256794690868e-18,1.0974335052862427e-16,0.10920761941291175,0.17156279168427852
EMB,0.13028891401081066,6.907294649222754e-16,2.359244795773486e-14,0.09889369195817055,0.16142501615103821
HIST1H1E,0.12170306717340267,4.894886576706403e-14,1.5145354937338637e-12,0.09024737201431735,0.15291618584866423
RETN,0.1214623197418039,5.4927857659172747e-14,1.6797705307398175e-12,0.09000499723980171,0.15267753124224384
LBR,0.12132850427977555,5.85556739909041e-14,1.7701312942077903e-12,0.08987027885737035,0.1525448774681292
GAPDH,0.11999779911765492,1.1018163281988509e-13,3.255929149621323e-12,0.08853065739683322,0.1512256633030452
HOPX,0.11735620608056628,3.785193657521472e-13,1.0731820094386171e-11,0.08587170177848423,0.14860655150834984
HSP90AB1,0.1173506611415221,3.7949021626536654e-13,1.0731820094386171e-11,0.08586612086550562,0.14860105329828874
TWISTNB,0.11394823754520815,1.786111740090183e-12,4.793340690242022e-11,0.08244199587828706,0.1452269386568949
KBTBD11,0.11192504058946072,4.390900211845957e-12,1.1321634859955753e-10,0.08040624714525493,0.14322023017598182
MCTP2,0.11175147675849316,4.739593111772993e-12,1.210206784850774e-10,0.08023161878131846,0.14304806885531396
PLTP,0.11064142729924145,7.705199964807402e-12,1.948526529561872e-10,0.07911480672378975,0.1419469445339568
RGL4,0.11061179342546666,7.805292835516139e-12,1.955040014991185e-10,0.07908499340024919,0.14191754786382382
RAB37,0.11013460013617335,9.603852597224305e-12,2.38284267270754e-10,0.07860491820328423,0.1414441666529484
CEACAM4,0.10897946000487416,1.5806785172046992e-11,3.8139307341728064e-10,0.07744286239087877,0.14029819512043437
HNRNPH1,0.1064576983842413,4.606789292314142e-11,1.0535526816335821e-09,0.07490630097350232,0.13779615769419506
CD59,0.10546766891513103,6.963675706400641e-11,1.578833371364973e-09,0.0739105727894805,0.13681376248592209
HSPE1,0.10543427650275791,7.060930749020305e-11,1.5872006726430256e-09,0.07387698926368665,0.13678062649234876
BEX2,0.1045839441416292,1.0037206061394765e-10,2.237106096734596e-09,0.07302181434752135,0.13593680015629814
SOX4,0.1038893661788053,1.334993755038526e-10,2.8778963735666588e-09,0.07232331527174814,0.1352475027613821
KIF23,0.10042471220872502,5.385296205817026e-10,1.1422039533305467e-08,0.0688395646149828,0.13180873563001327
SPARC,0.09962195304640581,7.390580649825978e-10,1.5304903235466394e-08,0.06803249066015772,0.1310118666405496
HSP90AA1,0.09751732622776739,1.6747815320392555e-09,3.2870712158680914e-08,0.06591674784048401,0.12892248974266743
WRNIP1,0.09691190752036055,2.112443113898381e-09,4.0552740069728046e-08,0.06530818411563617,0.12832140619460392
SLC44A1,0.09650287040168518,2.4692184146132082e-09,4.705829297415027e-08,0.06489703544571196,0.1279152849629676
7SK-2,0.0952814523030225,3.919913885828996e-09,7.31161242534061e-08,0.06366937594247027,0.12670251124297066
SLC25A29,0.09413204564898978,6.024023868899441e-09,1.1157170968454599e-07,0.06251418323435108,0.12556115351911654
CEBPE,0.0927688042786033,9.962325096311785e-09,1.7823751702925165e-07,0.06114418919251718,0.12420735063354078
MAPK14,0.09151318377193465,1.5734494505956744e-08,2.7405112947461084e-07,0.059882454512124685,0.12296031993323064
UBB,0.09027819797022703,2.4520486472135897e-08,4.214959439327935e-07,0.058641553603578096,0.12173368589363345
