,4.0_2_corr,4.0_2_pval,4.0_2_qval,4.0_2_ci_low,4.0_2_ci_high
CKB,0.8154426395517548,0.0,0.0,0.8035922920712066,0.8266467132292411
CTSK,0.802638146645196,0.0,0.0,0.7900607047948751,0.8145401432334576
MMP9,0.7446823285170536,0.0,0.0,0.7289668042276756,0.7596133024604159
ACP5,0.6080458977283917,0.0,0.0,0.5859161340682119,0.6292694539241334
SPP1,0.5913891001967593,0.0,0.0,0.5685712076556252,0.6132976931343169
SLC9B2,0.5505645951602584,8.826774315584876e-273,3.869069408331371e-270,0.5261457767667735,0.5740762432026557
SPARC,0.48326371981949906,2.3398032391543023e-198,8.790975027108307e-196,0.4564700708386694,0.5091816609909632
CD59,0.47329696366580853,7.468828863584908e-189,2.4553774889035387e-186,0.44617948159581,0.49954614005733144
RAB13,0.45259733648060235,3.325126494654776e-170,9.716758534380066e-168,0.42483018324317906,0.47951367085176627
SLC35F5,0.420842296092356,3.060701100428712e-144,8.049643894127511e-142,0.3921384164715226,0.44872748318781697
RPL36,0.40261639732909843,1.1470094304288348e-130,2.7423952745707595e-128,0.3734075728073249,0.4310277145037221
SCD5,0.39795592177848826,2.423283823237638e-127,5.311030379262489e-125,0.3686218002675586,0.42649826088125553
APOC1,0.38446824238894345,4.836627405353456e-118,9.784869289291993e-116,0.3547802609817663,0.413381694895512
GAPDH,0.38395329431944963,1.0722875738018044e-117,2.0143687993562469e-115,0.35425206063004794,0.4128806776990807
VIM,0.36954432043357915,2.7292455452728615e-108,4.785277189378417e-106,0.3394799493844078,0.39885440712639136
IGFBP6,0.3648833719907276,2.3410738599423873e-105,3.848140157280299e-103,0.33470470731184454,0.3943143162214634
CD9,0.3627311004198425,5.085350881227723e-104,7.430262676460506e-102,0.33250018171413037,0.3922173676743719
SELM,0.35982880476963486,3.102014969917191e-102,4.293841774148533e-100,0.3295279455620979,0.3893891886877406
ATOX1,0.33890798636984754,6.05341384091196e-90,7.960239200799228e-88,0.30812072343403224,0.36898612687893995
TYROBP,0.3321044803751206,3.6809520412895934e-86,4.609954223138872e-84,0.3011657493256463,0.36234474427495267
CD68,0.3241298538896724,7.456287544549883e-82,8.913652837348269e-80,0.2930177699901841,0.354556237047045
MMP14,0.32241742015329417,6.017747068406407e-81,6.881162952134283e-79,0.2912687004683311,0.35288321883598045
LGALS1,0.3196091362974981,1.7913952967033675e-79,1.9630706793041067e-77,0.28840078694553856,0.3501391522146639
PLD3,0.31409389433646584,1.2562130070009978e-76,1.3215360833650497e-74,0.2827700663734975,0.34474850213581376
CA2,0.3108088913553683,5.806394462389921e-75,5.873391321571343e-73,0.2794173072843585,0.34153674781886717
CSTB,0.3074192678887208,2.8731629289016833e-73,2.798673519633862e-71,0.2759585721029417,0.33822195336497374
S100A4,0.3059455170870255,1.540683445545929e-72,1.4471419506377834e-70,0.27445502679015277,0.33678049850201125
MT-ND4,0.29553811301501964,1.6322388200004893e-67,1.4802717574487197e-65,0.26384159965412984,0.32659704761337904
CST3,0.2918113392440603,9.107648500483768e-66,7.726811469765262e-64,0.26004291671993535,0.32294871470188025
MTRNR2L8,0.2882550962168862,3.98573094264196e-64,3.2757726184838612e-62,0.2564189716044826,0.31946646013637703
MTRNR2L12,0.2847267532726532,1.6004290323756908e-62,1.2754934409539596e-60,0.25282434205443455,0.31601069190214653
GPNMB,0.2813806449348562,5.043951426667482e-61,3.9016447800398465e-59,0.2494161842221292,0.3127326428003196
CD63,0.2791188791829587,5.051768857239993e-60,3.7960434555831946e-58,0.24711292520203101,0.31051645785319326
APOE,0.27360699496533003,1.2619507809654768e-57,9.219251538720012e-56,0.24150143683907752,0.30511422343536404
MT-ATP6,0.269859842542447,4.989661282462887e-56,3.546705181858755e-54,0.23768779601918383,0.301440456157227
ANPEP,0.25560510397120695,3.41930496778295e-50,2.3665189645445153e-48,0.22318918315390632,0.28745631237474617
FXYD6,0.2442558105311575,8.216349970604987e-46,5.540769339151568e-44,0.21165596913262655,0.27631274193084165
MT1G,0.2406634880251878,1.791395655407516e-44,1.14911477407848e-42,0.20800732210675005,0.2727837387878545
