,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
PRSS57,0.6223067259742179,0.0,0.0,0.6007822368868042,0.6429295539447888
C19orf77,0.6120055110631034,0.0,0.0,0.5900423127652589,0.6330635865496602
IGLL1,0.6085532640555829,0.0,0.0,0.5864447792146852,0.6297556728420257
MPO,0.5619785200989331,2.0169623652087987e-287,1.3261527551247852e-284,0.5379950679460388,0.5850528545283965
PRTN3,0.5253992940470124,1.0594148999791833e-242,5.572522373890504e-240,0.5000540411278254,0.5498452338509848
AZU1,0.5207830442918725,1.716250465093992e-237,7.522897871995331e-235,0.49527283835562697,0.5453958972357088
CTSG,0.5118407346077546,1.1748286275023242e-227,3.862249112913891e-225,0.4860153863261939,0.5367729733535133
ELANE,0.5041423219140029,1.8832949011567082e-219,4.9530655900421426e-217,0.47805030791217057,0.5293453448094593
RP11-620J15.3,0.49611504211135055,3.810023309832349e-211,9.109419368053709e-209,0.4697495385406107,0.5215963000129287
PLAC8,0.47906639764660275,2.5983577637561656e-194,5.256677629752859e-192,0.45213549819498655,0.5051246244173915
SPINK2,0.441353863368543,1.1659818290804568e-160,1.916582631551001e-158,0.4132467567292568,0.4686208097063268
MS4A3,0.41252975334081765,6.183945685235068e-138,7.392625978258287e-136,0.38359262316176934,0.44065761260751846
CST7,0.3961629477035392,4.4474836119253634e-126,4.873700791401544e-124,0.3667810361509943,0.4247553120521937
KIAA0101,0.38434398276926984,5.861923218670678e-118,5.929560794270724e-116,0.35465280178341363,0.41326079846978653
MYB,0.38375825463082797,1.4490962404108745e-117,1.4115270786224443e-115,0.3540520065077477,0.41269090984139023
STMN1,0.3818971616810247,2.5364269237523164e-116,2.3824295748102115e-114,0.35214320193483634,0.41087999502268724
NUCB2,0.3661880458908571,3.5776624084523954e-106,3.0352426239450967e-104,0.3360412176347967,0.3955853049724394
HMGB2,0.3651136551923975,1.681572563844762e-105,1.3820424509099138e-103,0.3349406010199889,0.39453866196415327
KIAA0125,0.35450184216265046,5.209608147792366e-99,3.8059081746372007e-97,0.32407417435103086,0.38419681126119754
MGST1,0.35097230672740704,6.565920517173139e-97,4.667127286531177e-95,0.32046173177437814,0.38075541422064135
DUT,0.3271704946585897,1.7647997250242084e-83,1.1320544577594314e-81,0.29612397542142194,0.35752641061298335
RNASE2,0.32565141641453244,1.1519392817452323e-82,7.045582118581304e-81,0.29457205953963794,0.3560426139411434
C1orf228,0.3147847865771371,5.572605367209188e-77,2.9910106358694215e-75,0.28347530631407303,0.3454238975942912
RNASE3,0.29480956469826397,3.6008216342258575e-67,1.661431736493685e-65,0.26309891646552663,0.3258839065014337
MNDA,0.2754417506918556,2.038815625456864e-58,8.378257960861802e-57,0.24336910968758255,0.30691270492147255
CLEC11A,0.27087014056547587,1.8624857576141068e-56,7.310951556007614e-55,0.23871592283050286,0.30243106059056546
HIST1H4C,0.26838434943785644,2.0876885160158422e-55,8.074442348708331e-54,0.2361863943085514,0.2999936021220202
RETN,0.26588329751459727,2.3120257600443272e-54,8.68661106988083e-53,0.23364177680972628,0.2975407629638936
TOP2A,0.2580351253778619,3.6779847934644544e-51,1.2897466675748687e-49,0.22565976439401994,0.2898411657118093
CFD,0.25539500029335255,4.141468055619723e-50,1.3787418969974522e-48,0.22297559216460333,0.2872500954514017
CENPF,0.24909729726388358,1.1865727204690915e-47,3.8057149449191595e-46,0.21657480421685504,0.2810675239132695
SELL,0.24887083530476842,1.449827759095262e-47,4.594032537856071e-46,0.2163446874485418,0.2808451525799072
SERPINB10,0.24853743357659244,1.9465432371982575e-47,6.094534183132639e-46,0.21600591161529556,0.2805177669034988
UBE2C,0.24081097110684377,1.5801181724625756e-44,4.722398629064289e-43,0.2081570997085946,0.27292863930484745
H2AFZ,0.23676776743732472,4.77459131493413e-43,1.3799093580523915e-41,0.20405154688519253,0.2689557081544245
GAPDH,0.22984354463001616,1.4039686926438945e-40,3.7677935322994314e-39,0.19702321950074916,0.2621492860046193
HSP90AA1,0.2219312476283754,7.350315606088709e-38,1.8952284356875786e-36,0.18899609010849097,0.25436766273788
S100A12,0.22163225432094613,9.267092298235219e-38,2.366257547995983e-36,0.18869284374709902,0.25407352500782626
PTPRCAP,0.22139551686516157,1.1130588590947578e-37,2.8147546148261668e-36,0.18845274325653194,0.25384062785302447
MKI67,0.220542274359425,2.1504301820991574e-37,5.3863155989721754e-36,0.18758741246821298,0.2530011952365268
NKG7,0.2191201510349159,6.4042020684430945e-37,1.574116957009845e-35,0.18614525493384776,0.25160198062305505
EMB,0.21689655002199584,3.4723173228481017e-36,8.455735702861581e-35,0.18389061359877512,0.24941392700719114
FAM101B,0.2103248443958051,4.587270020355246e-34,1.0490887090029823e-32,0.1772291997663117,0.2429453381602833
RPL36,0.20920410383527643,1.037578995618619e-33,2.3323356910059555e-32,0.1760934629373645,0.2418418935253844
RGL4,0.20378734426750245,5.008683011002352e-32,1.0797406818800154e-30,0.17060546581054872,0.23650753833029192
NFE2,0.2019473567832169,1.8221252973995198e-31,3.896089050537185e-30,0.16874174835664546,0.23469509339265268
BEX2,0.20117225193283106,3.127289656891059e-31,6.632880481954423e-30,0.16795671819750957,0.2339315228247155
PRAM1,0.19075976761227215,3.557075470518042e-28,6.878756240781213e-27,0.1574149834493255,0.2236700666619168
HIST1H1E,0.1804943863779496,2.46535677080829e-25,4.3810056129904074e-24,0.14702961157633399,0.21354643302114132
HOPX,0.17901045567712642,6.145740002275601e-25,1.0847849802674384e-23,0.14552894554286172,0.21208240542097836
HSPA1B,0.17291419757309068,2.4076980544945916e-23,4.0077505590637823e-22,0.13936555175245025,0.20606635486285765
HSPA1A,0.1719313999649217,4.294600360058722e-23,7.103647136449332e-22,0.13837217422427592,0.20509625313684857
7SK-2,0.1695775015048568,1.6931089574042455e-22,2.7830478487332285e-21,0.13599321031164527,0.20277249760969268
PTTG1,0.16881212836541162,2.6334447033628606e-22,4.275283685089088e-21,0.13521977053793352,0.2020168449303993
HNRNPH1,0.16544522381198326,1.7928683352420724e-21,2.857723467688879e-20,0.1318178666573441,0.19869223149544502
CES1,0.1646655714636184,2.779223039164305e-21,4.325063072782321e-20,0.13103022267202785,0.1979222631052995
CLEC12A,0.15833666403979335,9.002768984184263e-20,1.3081371507405864e-18,0.12463801332935061,0.19167044707408415
CFP,0.15731938955227912,1.5537361373563462e-19,2.232965049861853e-18,0.12361082491558378,0.19066531143336765
CEBPE,0.15582551011650214,3.4397455451221697e-19,4.890016639822327e-18,0.12210251768254157,0.18918913129249637
HSPB1,0.15367579519299132,1.0645840440993118e-18,1.5052989440759085e-17,0.1199323142516336,0.18706462124347528
HSPH1,0.15309249717694837,1.44241280305087e-18,2.0178434425658448e-17,0.11934351255527736,0.18648810837555072
LBR,0.15274257077011247,1.7297100206103733e-18,2.4069509810609957e-17,0.1189902958266115,0.1861422414103875
MCTP2,0.15045000404314793,5.625369011557856e-18,7.587036154049827e-17,0.11667638364232699,0.18387606560814723
CEBPA,0.14725090693078377,2.8278123466909196e-17,3.681755679107485e-16,0.11344811329153427,0.18071320097214097
ADRBK1,0.14454169398290248,1.0794208963112299e-16,1.3780956103390945e-15,0.1107147525221459,0.17803413080157302
KBTBD11,0.1444224566620269,1.1442964993299046e-16,1.4538646344143233e-15,0.11059446416794282,0.1779162087101197
PADI4,0.14426228361819915,1.2375268912276064e-16,1.56475755958106e-15,0.11043288081718626,0.17775780091704665
METTL9,0.14315564197661965,2.1208611593399661e-16,2.6561261186019574e-15,0.10931654416983103,0.17666330803094518
SLPI,0.14248915944219603,2.927665045706388e-16,3.631961825569717e-15,0.10864426393450767,0.1760041021845208
CDA,0.13968732149092608,1.1162885759364997e-15,1.371887362015418e-14,0.10581839152092747,0.1732325259945235
TESC,0.13947208535961206,1.2357741681541507e-15,1.5116679359281005e-14,0.10560133169518235,0.17301959258284802
TSPO,0.13924080339552086,1.3782131322901683e-15,1.6703689114853193e-14,0.105368093677892,0.1727907815104604
RAB3D,0.13907811087821148,1.4879733549055112e-15,1.79512381807408e-14,0.10520402743124187,0.17262982494267268
GRB10,0.13883873407335542,1.6652803056128578e-15,1.999857170667496e-14,0.10496263274932988,0.1723929990604785
RAB27A,0.13845769759678236,1.9912947659807458e-15,2.3805023793315282e-14,0.10457839248018716,0.17201601510302006
AREGB,0.1374776122433214,3.146712005338027e-15,3.744729671510865e-14,0.1035901129363948,0.17104630830352455
FCN1,0.13549675720270837,7.854079849651915e-15,9.099660794971162e-14,0.10159290084522142,0.1690862308381869
AGTRAP,0.13509657313208343,9.432660590292855e-15,1.0833142948676947e-13,0.10118944540725448,0.16869021211350682
ATP2A3,0.13339395081525504,2.0434492024606818e-14,2.31649629416879e-13,0.09947302939522017,0.1670051904262357
EDEM3,0.13026583416093898,8.239619524032089e-14,9.105125776556468e-13,0.09632009652674106,0.16390889844383572
SLC44A1,0.13025150329472868,8.291780915985414e-14,9.124428371983948e-13,0.09630565353724467,0.16389471185069737
SPEF2,0.12778174105864132,2.4345235036734557e-13,2.6567621637598293e-12,0.09381678162002839,0.16144960557101537
RMRP,0.12597591017797943,5.280931245450055e-13,5.692151301448216e-12,0.09199724684154316,0.15966154089155477
ROGDI,0.12545624790441037,6.585554379647843e-13,7.0693910279485e-12,0.09147368305031245,0.15914695022285086
MAPK14,0.12480011100928859,8.691302429617622e-13,9.291920890200953e-12,0.0908126468497429,0.1584971906960175
CSF3R,0.1246084675639235,9.422326924456429e-13,1.003268008555482e-11,0.09061957807406026,0.1583074044350605
P2RY8,0.1223411347994638,2.426605024379965e-12,2.524428099179342e-11,0.08833557613692616,0.1560618550004208
HBB,0.12208954820903796,2.6922775548596923e-12,2.7876732162523586e-11,0.08808216194881395,0.1558126640342539
GMCL1,0.12148230358941688,3.4565460310976774e-12,3.5272720081716014e-11,0.08747052426314138,0.15521118395453004
