STANDARD_NAME	GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION
SYSTEMATIC_NAME	M817
COLLECTION	C5:GO:BP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION
NAMESPACE	Human_NCBI_Gene_ID
DESCRIPTION_BRIEF	A transition where an epithelial cell loses apical/basolateral polarity, severs intercellular adhesive junctions, degrades basement membrane components and becomes a migratory mesenchymal cell. [GOC:dph, PMID:14701881]
DESCRIPTION_FULL	
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Gene Ontology
CONTRIBUTOR_ORG	Gene Ontology Consortium
EXACT_SOURCE	GO:0001837
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://amigo.geneontology.org/amigo/term/GO:0001837
SOURCE_MEMBERS	10016,100507588,101,10155,10252,10253,10439,10459,10521,10630,10979,114990,116844,1277,145258,147906,1499,152007,153090,1601,161742,1655,182,1829,183,1906,1909,1942,200558,200734,2013,2022,2042,2043,205717,2146,2253,2260,2263,2295,2296,23028,23272,23275,23462,23493,2475,25800,25805,25937,2625,265,26508,2651,26585,27250,283149,286204,28984,2932,3037,3066,3082,3091,3169,3170,3182,3249,3479,348262,3516,3553,3569,359845,3670,3987,399473,4017,4040,406919,406934,406936,406937,406941,406953,406979,406980,406987,406991,407006,407007,407024,4087,4088,4089,4092,4139,4192,442894,442900,442917,4487,4488,4684,4851,4855,494328,51094,51176,51384,54361,54756,54949,5515,55223,55273,553115,5534,57057,57142,57181,5728,574448,574480,5747,57669,58495,59349,6093,6275,6317,6386,6422,6423,650,652,653,655,6591,6615,6662,6910,6926,693158,693175,6934,6949,7040,7041,7042,7043,7046,7048,7049,7074,7080,7148,7291,7422,7472,7474,7478,7481,753,79755,80139,80199,80204,80237,80320,80709,8091,8092,81610,8313,8320,84148,84172,84541,84695,8751,90,90864,9221,9231,9241,94,9444,9475,9820
GENE_SYMBOLS	PDCD6,TGFBR3L,ADAM8,TRIM28,SPRY1,SPRY2,OLFM1,MAD2L2,DDX17,PDPN,FERMT2,VASN,LRG1,COL1A1,GSC,DACT3,CTNNB1,GLIPR2,DAB2IP,DAB2,SPRED1,DDX5,JAG1,DSG2,AGT,EDN1,EDNRA,EFNA1,APLF,SPRED2,EMP2,ENG,EPHA3,EPHA4,USF3,EZH2,FGF8,FGFR1,FGFR2,FOXF2,FOXC1,KDM1A,TASOR,POFUT2,HEY1,HEY2,MTOR,SLC39A6,BAMBI,WWTR1,GATA3,AMELX,HEYL,GCNT2,GREM1,PDCD4,BCL9L,CRB2,RGCC,GSK3B,HAS2,HDAC2,HGF,HIF1A,FOXA1,FOXA2,HNRNPAB,HPN,IGF1,MCRIP1,RBPJ,IL1B,IL6,RFLNB,ISL1,LIMS1,SPRED3,LOXL2,LRP6,MIR130A,MIR142,MIR144,MIR145,MIR149,MIR18A,MIR19A,MIR19B1,MIR204,MIR21,MIR221,MIR222,MIR29B1,SMAD2,SMAD3,SMAD4,SMAD7,MARK1,MDK,MIR302B,MIR326,MIR372,MSX1,MSX2,NCAM1,NOTCH1,NOTCH4,MIR379,ADIPOR1,LEF1,WNT16,WNT4,IL17RD,SDHAF2,PPP2CA,TRIM62,TMEM100,PEF1,PPP3R1,TBX20,RTN4,SLC39A10,PTEN,MIR202,MIR519D,PTK2,EPB41L5,OVOL2,KLHL12,ROCK1,S100A4,SERPINB3,SDCBP,SFRP1,SFRP2,BMP2,BMP4,BMP5,BMP7,SNAI2,SNAI1,SOX9,TBX5,TBX3,MIR573,MIR590,TCF7L2,TCOF1,TGFB1,TGFB1I1,TGFB2,TGFB3,TGFBR1,TGFBR2,TGFBR3,TIAM1,NKX2-1,TNXB,TWIST1,VEGFA,WNT2,WNT5A,WNT8A,WNT11,LDLRAD4,ZNF750,ZNF703,FUZ,FBXO11,ELL3,SP6,AKNA,HMGA2,ALX1,FAM83D,AXIN2,EOMES,KAT8,POLR1B,KBTBD8,LOXL3,ADAM15,ACVR1,SPSB3,NOLC1,DLG5,NOG,ACVRL1,QKI,ROCK2,CUL7
FOUNDER_NAMES	
