STANDARD_NAME	HALLMARK_ANGIOGENESIS
SYSTEMATIC_NAME	M5944
COLLECTION	H
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ANGIOGENESIS
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes up-regulated during formation of blood vessels (angiogenesis).
DESCRIPTION_FULL	
PMID	26771021
GEOID	
AUTHORS	Liberzon A,Birger C,Thorvaldsdóttir H,Ghandi M,Mesirov JP,Tamayo P
CONTRIBUTOR	Arthur Liberzon
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
SOURCE_MEMBERS	APOH,APP,CCND2,COL3A1,COL5A2,CXCL6,FGFR1,FSTL1,ITGAV,JAG1,JAG2,KCNJ8,LPL,LRPAP1,LUM,MSX1,NRP1,OLR1,PDGFA,PF4,PGLYRP1,POSTN,PRG2,PTK2,S100A4,SERPINA5,SLCO2A1,SPP1,STC1,THBD,TIMP1,TNFRSF21,VAV2,VCAN,VEGFA,VTN
GENE_SYMBOLS	APOH,APP,CCND2,COL3A1,COL5A2,CXCL6,FGFR1,FSTL1,ITGAV,JAG1,JAG2,KCNJ8,LPL,LRPAP1,LUM,MSX1,NRP1,OLR1,PDGFA,PF4,PGLYRP1,POSTN,PRG2,PTK2,S100A4,SERPINA5,SLCO2A1,SPP1,STC1,THBD,TIMP1,TNFRSF21,VAV2,VCAN,VEGFA,VTN
FOUNDER_NAMES	PATTERN_BINDING;M12030|LU_TUMOR_VASCULATURE_UP;M12769|MODULE_410;M13673|GOMF_GLYCOSAMINOGLYCAN_BINDING;M14266|GOMF_HEPARIN_BINDING;M15815|LU_TUMOR_ENDOTHELIAL_MARKERS_UP;M17004|GOMF_POLYSACCHARIDE_BINDING;M19396|MODULE_385;M19777|SUGAR_BINDING;M19821|MODULE_96;M5123|GOMF_MONOSACCHARIDE_BINDING;M6223|ROY_WOUND_BLOOD_VESSEL_UP;M7337|GOMF_CARBOHYDRATE_BINDING;M9636|LU_TUMOR_ANGIOGENESIS_UP;M9946
