,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
SAT1,0.286362803,7.11E-28,1.10E-25,0.237232179,0.334032266
TYROBP,0.273758409,1.70E-25,2.48E-23,0.224283313,0.321825941
FCGR3A,0.270802088,5.89E-25,7.74E-23,0.221248725,0.318960671
CTSS,0.270278532,7.33E-25,8.76E-23,0.220711408,0.318453149
CST3,0.260639795,3.73E-23,4.08E-21,0.210824703,0.309104646
TSC22D3,0.252233551,1.00E-21,1.05E-19,0.20221051,0.30094387
MS4A7,0.231966327,1.68E-18,1.52E-16,0.181473706,0.281239086
FCN1,0.22902972,4.65E-18,4.07E-16,0.178472779,0.278380523
SERPINA1,0.225414421,1.59E-17,1.31E-15,0.174779586,0.274860104
JUNB,0.215459462,4.24E-16,3.19E-14,0.164617501,0.265159547
MAFB,0.21461849,5.56E-16,4.06E-14,0.163759525,0.264339605
LGALS2,0.21270052,1.02E-15,7.08E-14,0.161803064,0.262469328
RGS2,0.211761323,1.38E-15,9.28E-14,0.160845164,0.261553349
CLEC7A,0.209004251,3.27E-15,2.00E-13,0.158033744,0.258863918
NEAT1,0.208267384,4.11E-15,2.45E-13,0.157282491,0.258144998
CDKN1C,0.20720886,5.69E-15,3.32E-13,0.156203405,0.257112159
DUSP1,0.207046506,5.99E-15,3.42E-13,0.156037908,0.256953734
CD68,0.194526932,2.49E-13,1.31E-11,0.143284591,0.24472908
RP11-290F20.3,0.190716776,7.36E-13,3.65E-11,0.139406672,0.241005508
FGL2,0.190402092,8.04E-13,3.91E-11,0.139086462,0.240697909
HLA-DPA1,0.187192865,1.97E-12,9.23E-11,0.135821491,0.237560358
CFP,0.186872673,2.15E-12,9.90E-11,0.135495799,0.23724726
CXCL16,0.186336896,2.49E-12,1.13E-10,0.134950843,0.23672333
ID2,0.181769177,8.59E-12,3.83E-10,0.130306128,0.232255415
P2RY13,0.180309724,1.27E-11,5.55E-10,0.12882255,0.230827402
RNF144B,0.178528783,2.03E-11,8.74E-10,0.127012482,0.229084532
PDK4,0.177896177,2.40E-11,1.02E-09,0.126369613,0.228465371
AMICA1,0.176690887,3.28E-11,1.37E-09,0.125144887,0.227285583
CYBB,0.176103629,3.82E-11,1.57E-09,0.124548217,0.226710698
TNFRSF1B,0.175384147,4.60E-11,1.86E-09,0.123817254,0.226006326
TXNIP,0.174818333,5.32E-11,2.09E-09,0.12324245,0.225452357
KLF6,0.17354122,7.38E-11,2.81E-09,0.121945174,0.224201861
KLF2,0.163568571,8.71E-10,3.05E-08,0.111821132,0.214431309
TNFSF10,0.163412301,9.04E-10,3.13E-08,0.111662575,0.214278126
ZFP36,0.161850385,1.31E-09,4.48E-08,0.110077946,0.212746914
BCL2A1,0.160127733,1.97E-09,6.56E-08,0.10833055,0.211057838
RHOB,0.15975022,2.15E-09,7.08E-08,0.107947658,0.210687642
CD163,0.15774756,3.43E-09,1.11E-07,0.105916714,0.208723554
VCAN,0.156780835,4.29E-09,1.36E-07,0.104936492,0.207775302
GIMAP4,0.155183164,6.18E-09,1.91E-07,0.103316733,0.206207949
MPEG1,0.153382563,9.29E-09,2.77E-07,0.10149157,0.204441205
HLA-DRB5,0.152336846,1.17E-08,3.47E-07,0.100431749,0.203414997
TMEM176B,0.150575627,1.74E-08,5.07E-07,0.09864704,0.201686382
HLA-DPB1,0.148450798,2.76E-08,7.98E-07,0.096494317,0.199600465
HLA-DQA1,0.14802598,3.03E-08,8.66E-07,0.096063981,0.199183372
CD300E,0.147358133,3.50E-08,9.79E-07,0.095387497,0.19852763
DUSP6,0.146373901,4.33E-08,1.18E-06,0.094390625,0.197561154
FOS,0.145839341,4.85E-08,1.31E-06,0.093849244,0.197036197
OGFRL1,0.145047923,5.74E-08,1.54E-06,0.093047783,0.196258941
VMO1,0.14477671,6.09E-08,1.62E-06,0.092773144,0.195992567
FGD2,0.142806316,9.22E-08,2.37E-06,0.090778097,0.194057099
FAM65B,0.141029437,1.33E-07,3.34E-06,0.088979344,0.192311373
