,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
HLA-DPA1,0.193743101,2.46E-47,2.15E-44,0.168002744,0.219219445
HLA-DPB1,0.191677679,2.40E-46,1.58E-43,0.165917456,0.217176489
DUSP6,0.187523944,2.18E-44,1.15E-41,0.161724464,0.213067257
HLA-DRA,0.166847343,2.49E-35,9.35E-33,0.1408663,0.192598735
MS4A7,0.156743414,2.59E-31,8.51E-29,0.13068203,0.182588329
VSIG4,0.153411094,4.78E-30,1.26E-27,0.127324419,0.179285678
FOSB,0.148995673,2.06E-28,4.52E-26,0.122876407,0.174908671
MAFB,0.147514434,7.10E-28,1.44E-25,0.12138447,0.173440089
HLA-DQB1,0.146963383,1.12E-27,2.11E-25,0.120829469,0.172893718
DUSP1,0.139053056,6.50E-25,1.14E-22,0.112864242,0.165048802
JUNB,0.137182616,2.77E-24,4.56E-22,0.110981313,0.163193348
ZFP36L1,0.134834448,1.67E-23,2.58E-21,0.108617732,0.160863733
FOS,0.130533104,4.10E-22,5.99E-20,0.104288923,0.156595622
TMEM176B,0.124422613,3.23E-20,3.69E-18,0.098141126,0.150530668
CD74,0.123430671,6.42E-20,7.04E-18,0.097143317,0.149545933
RHOB,0.121922424,1.81E-19,1.90E-17,0.09562625,0.148048544
JUN,0.121774868,2.00E-19,2.02E-17,0.095477838,0.147902044
LINC00936,0.116307994,7.65E-18,7.18E-16,0.089980063,0.142473482
HLA-DRB1,0.116080132,8.87E-18,8.04E-16,0.089750949,0.142247183
NEAT1,0.115987355,9.42E-18,8.26E-16,0.089657662,0.142155042
NAMPT,0.115932649,9.76E-18,8.28E-16,0.089602656,0.142100709
TSC22D3,0.106721495,3.03E-15,2.15E-13,0.080343251,0.132950363
HLA-DQA1,0.105887462,4.97E-15,3.44E-13,0.079505073,0.132121615
GLUL,0.105137592,7.73E-15,5.22E-13,0.078751509,0.131376465
CLEC7A,0.103549883,1.95E-14,1.28E-12,0.077156078,0.129798654
IFITM3,0.103325357,2.22E-14,1.43E-12,0.07693047,0.129575516
KLF6,0.101688685,5.69E-14,3.56E-12,0.075285999,0.127948888
TMEM176A,0.101543865,6.17E-14,3.78E-12,0.075140496,0.12780495
ZFP36,0.101397715,6.71E-14,4.01E-12,0.074993658,0.127659689
SAT1,0.099741073,1.70E-13,9.74E-12,0.073329293,0.126013043
SLC1A3,0.096674167,9.19E-13,5.03E-11,0.07024848,0.122964262
ADORA3,0.094408044,3.09E-12,1.66E-10,0.067972404,0.120711212
IER2,0.093870467,4.10E-12,2.16E-10,0.067432506,0.120176696
CLEC4E,0.093636805,4.63E-12,2.39E-10,0.06719784,0.11994436
EVI2A,0.092406085,8.79E-12,4.36E-10,0.065961881,0.118720577
CD300E,0.091517213,1.39E-11,6.77E-10,0.065069275,0.117836664
CD163,0.091080393,1.74E-11,8.31E-10,0.064630636,0.117402266
HLA-DRB5,0.090450818,2.39E-11,1.12E-09,0.063998458,0.116776165
LIPA,0.089783158,3.35E-11,1.52E-09,0.06332806,0.116112166
NR4A2,0.089750285,3.41E-11,1.52E-09,0.063295052,0.116079472
FN1,0.08781374,8.93E-11,3.92E-09,0.061350703,0.114153408
PDK4,0.087606025,9.89E-11,4.27E-09,0.061142163,0.113946806
MIR24-2,0.086726711,1.52E-10,6.45E-09,0.060259382,0.113072176
LGALS2,0.085409082,2.87E-10,1.18E-08,0.058936634,0.111761489
NFKBIA,0.085045553,3.42E-10,1.36E-08,0.05857171,0.11139986
CTSB,0.082291858,1.24E-09,4.75E-08,0.055807672,0.108660325
CXCL16,0.081836794,1.54E-09,5.69E-08,0.055350937,0.108207562
PPP1R15A,0.081331237,1.94E-09,7.07E-08,0.054843537,0.107704549
KLF4,0.080236996,3.18E-09,1.13E-07,0.053745355,0.106615768
ARL4A,0.080100823,3.38E-09,1.19E-07,0.053608697,0.10648027
GPR34,0.079974192,3.58E-09,1.23E-07,0.053481615,0.106354266
CTSS,0.079960808,3.60E-09,1.23E-07,0.053468183,0.106340948
GIMAP8,0.079651434,4.14E-09,1.40E-07,0.05315771,0.106033101
FGL2,0.079407332,4.61E-09,1.52E-07,0.052912746,0.105790202
MAP3K8,0.078665776,6.42E-09,2.08E-07,0.052168588,0.105052277
RP11-701P16.2,0.077223817,1.21E-08,3.83E-07,0.050721655,0.103617297
CLEC10A,0.076797558,1.45E-08,4.55E-07,0.050293947,0.10319308
SERPINA1,0.076627846,1.56E-08,4.78E-07,0.05012366,0.103024178
CRIP1,0.07547701,2.56E-08,7.64E-07,0.048968971,0.101878797
PRELID1,0.075338717,2.71E-08,8.01E-07,0.04883022,0.101741155
ARHGEF40,0.073876247,5.02E-08,1.43E-06,0.047362965,0.100285505
LY96,0.072748461,7.99E-08,2.24E-06,0.046231569,0.099162901
EGR1,0.072236697,9.86E-08,2.73E-06,0.045718189,0.098653466
FAM26F,0.072060683,1.06E-07,2.90E-06,0.045541622,0.098478251
MAP3K7CL,0.071634887,1.26E-07,3.41E-06,0.045114496,0.098054378
TGIF1,0.070565467,1.93E-07,5.08E-06,0.044041778,0.096989746
CD14,0.070276229,2.17E-07,5.59E-06,0.043751659,0.096701794
HMOX1,0.069403552,3.06E-07,7.67E-06,0.042876349,0.095832966
MARCKS,0.06917721,3.34E-07,8.15E-06,0.042649331,0.095607616
BACH1,0.068892323,3.74E-07,9.02E-06,0.042363597,0.095323973
VAMP5,0.068628756,4.14E-07,9.90E-06,0.042099251,0.095061554
MCL1,0.068337945,4.64E-07,1.10E-05,0.041807583,0.094772005
KLF2,0.068232115,4.83E-07,1.13E-05,0.041701443,0.094666633
CHMP1B,0.067805858,5.69E-07,1.30E-05,0.041273942,0.094242216
C5AR1,0.067486294,6.43E-07,1.46E-05,0.040953451,0.093924024
JUND,0.066861875,8.16E-07,1.82E-05,0.040327239,0.093302272
ZEB2,0.066836102,8.24E-07,1.82E-05,0.040301392,0.093276609
LPAR6,0.066806237,8.33E-07,1.83E-05,0.040271441,0.09324687
CCL3,0.06668815,8.71E-07,1.88E-05,0.040153018,0.093129285
SECTM1,0.066424174,9.62E-07,2.06E-05,0.039888292,0.092866428
MARCO,0.066143713,1.07E-06,2.27E-05,0.039607039,0.092587151
CECR1,0.064961402,1.66E-06,3.49E-05,0.038421433,0.091409788
TNFRSF1B,0.064438183,2.01E-06,4.16E-05,0.037896779,0.090888734
SLC43A2,0.06274718,3.71E-06,7.33E-05,0.03620124,0.089204632
RP11-347P5.1,0.062352691,4.26E-06,8.31E-05,0.035805715,0.088811731
CDKN1A,0.062296735,4.35E-06,8.41E-05,0.035749613,0.088756
NR4A1,0.062152746,4.58E-06,8.79E-05,0.035605248,0.088612588
C1QA,0.061902123,5.00E-06,9.53E-05,0.035353973,0.088362967
PLD3,0.061689815,5.39E-06,0.000101939,0.035141116,0.088151505
RNF144B,0.061094637,6.63E-06,0.000124629,0.034544413,0.087558687
CFP,0.060917855,7.05E-06,0.000131589,0.034367181,0.087382602
JMJD1C,0.059572625,1.12E-05,0.000205997,0.033018583,0.086042624
PLIN2,0.059532227,1.14E-05,0.000207395,0.032978086,0.086002382
RP11-561P12.5,0.059490284,1.15E-05,0.000208432,0.032936039,0.085960601
AC074289.1,0.059374598,1.20E-05,0.000214329,0.032820068,0.085845361
TXNIP,0.059234723,1.26E-05,0.000223208,0.03267985,0.085706025
FGD4,0.058396854,1.66E-05,0.000289925,0.031839948,0.084871364
LINC00877,0.058011743,1.89E-05,0.000323156,0.031453915,0.084487715
CD52,0.057842002,2.00E-05,0.000339649,0.03128377,0.084318615
TREM1,0.057528953,2.22E-05,0.000374213,0.030969979,0.084006746
ARRDC4,0.057396889,2.32E-05,0.000388339,0.030837605,0.083875179
SLC11A1,0.057363973,2.34E-05,0.000390076,0.030804612,0.083842386
C9orf72,0.057312328,2.38E-05,0.000394251,0.030752845,0.083790935
DPYD,0.057216875,2.46E-05,0.000401732,0.030657169,0.083695839
CEBPD,0.057148832,2.51E-05,0.000408249,0.030588966,0.083628051
TIMP1,0.056968306,2.67E-05,0.000430403,0.030408019,0.083448199
MPEG1,0.056825282,2.79E-05,0.00044746,0.030264663,0.083305708
TRMT1,0.056811642,2.81E-05,0.00044746,0.030250991,0.083292119
SKIL,0.056408512,3.20E-05,0.00050388,0.02984693,0.082890485
UACA,0.056205864,3.42E-05,0.000531585,0.029643818,0.082688586
AMICA1,0.055829771,3.85E-05,0.000596345,0.029266868,0.082313876
CHST15,0.055732722,3.98E-05,0.000611564,0.029169599,0.082217184
DAB2,0.055568531,4.19E-05,0.000640747,0.029005037,0.082053594
METTL7A,0.055305395,4.56E-05,0.000692698,0.02874131,0.081791418
CD68,0.054897597,5.18E-05,0.00077927,0.028332604,0.081385101
RGS2,0.054897042,5.19E-05,0.00077927,0.028332048,0.081384548
MAN1A1,0.054818316,5.32E-05,0.000794314,0.028253147,0.081306107
ATP2B1,0.054763345,5.41E-05,0.000803618,0.028198054,0.081251334
CFD,0.054275531,6.30E-05,0.000925943,0.027709168,0.080765277
ZFAND5,0.053361711,8.36E-05,0.001208713,0.026793374,0.079854713
GIMAP4,0.053282864,8.57E-05,0.00122489,0.026714359,0.079776146
CD83,0.05279017,9.96E-05,0.001393721,0.026220621,0.079285186
PELI1,0.052695327,0.000102543,0.001419417,0.026125579,0.079190676
CSF3R,0.052540258,0.000107486,0.001470494,0.025970185,0.07903615
PFKFB3,0.052527232,0.000107911,0.001470494,0.025957132,0.079023169
C3AR1,0.052216091,0.000118552,0.001607172,0.025645343,0.078713114
VMP1,0.052161837,0.000120506,0.001625283,0.025590976,0.078659048
SGK1,0.052090641,0.000123116,0.001652015,0.025519633,0.078588099
HERPUD1,0.052018216,0.000125826,0.001679805,0.025447058,0.078515926
MS4A14,0.051693868,0.000138665,0.001832612,0.025122043,0.078192699
FCGR3A,0.051527686,0.000145712,0.001906585,0.024955522,0.07802709
SOCS3,0.051466618,0.000148386,0.001931952,0.02489433,0.077966233
