,4.0_3_corr,4.0_3_pval,4.0_3_qval,4.0_3_ci_low,4.0_3_ci_high
IER3,0.376528792,8.73E-113,1.53E-110,0.346638594,0.405655084
OLR1,0.365972074,4.89E-106,7.85E-104,0.335819968,0.395374917
FCGR3A,0.365946027,5.07E-106,7.85E-104,0.335793283,0.395349543
CXCL2,0.365518653,9.39E-106,1.37E-103,0.335355475,0.394933209
VSIG4,0.36116316,4.71E-103,6.52E-101,0.330894382,0.390689537
C5AR1,0.358445058,2.17E-101,2.85E-99,0.328111065,0.388040583
CXCL3,0.354994713,2.64E-99,3.30E-97,0.324578693,0.384677309
PLAUR,0.35142932,3.52E-97,4.03E-95,0.32092943,0.381201062
NAMPT,0.339352338,3.40E-90,3.72E-88,0.308575082,0.369419783
ZFP36,0.338091724,1.74E-89,1.83E-87,0.307286114,0.368189477
CD83,0.333626886,5.35E-87,5.21E-85,0.302721763,0.363831138
CD163,0.333146936,9.84E-87,9.24E-85,0.3022312,0.363362558
MS4A7,0.331741959,5.82E-86,5.28E-84,0.300795249,0.361990775
NEAT1,0.330557175,2.58E-85,2.27E-83,0.299584455,0.360833882
ZFP36L1,0.317708926,1.74E-78,1.39E-76,0.286460546,0.348282097
BCL2A1,0.317140197,3.43E-78,2.65E-76,0.285879886,0.347726238
IL1B,0.307013164,4.57E-73,3.25E-71,0.275544243,0.337824763
DUSP1,0.305150384,3.80E-72,2.63E-70,0.273643883,0.33600273
ZNF331,0.30273399,5.78E-71,3.90E-69,0.271179106,0.333638848
IL10,0.29986117,1.42E-69,8.89E-68,0.268249303,0.330827954
CCL3,0.297898598,1.24E-68,7.56E-67,0.26624814,0.328907371
ATF3,0.296749057,4.36E-68,2.60E-66,0.265076121,0.327782305
PLIN2,0.296153432,8.35E-68,4.77E-66,0.264468886,0.327199327
NR4A2,0.29472665,3.94E-67,2.20E-65,0.263014396,0.325802743
FN1,0.293998036,8.67E-67,4.75E-65,0.262271688,0.325089499
TNFAIP3,0.29121389,1.73E-65,8.90E-64,0.25943403,0.322363754
TREM2,0.290140534,5.41E-65,2.74E-63,0.258340192,0.321312776
IL8,0.287984594,5.30E-64,2.58E-62,0.256143356,0.319201551
