Term,tag %,gene %,fdr,es,nes,lead_genes
ZNF267 human tf ARCHS4 coexpression,72/141,15.18%,0,0.691926932,2.90688583,TYROBP;CTSS;MS4A7;RGS2;CLEC7A;CD68;FGL2;CYBB;TNFRSF1B;MPEG1;CD300E;OGFRL1;SLC43A2;TLR2;EVI2A;SLC11A1;C3AR1;LY96;MCL1;ITGAX;NFKBIZ;USP15;TNFAIP2;BIRC3;CLEC4E;TNFAIP3;HLA-DRB1;C5AR1;GBP1;IER5;BACH1;SOD2;NAMPT;HCAR3;PELI1;PLEKHO1;CEBPB;LILRB3;CCR1;MAP3K8;RNF149;ACSL1;LRRK2;TLR4;MYO1G;PLXNC1;SAMSN1;TLR1;SLC15A3;SSH2;CSGALNACT2;INSIG1;TLR6;TNF;RAB8B;ATP2B1;DMXL2;PLEKHO2;TREM1;RASSF3;IER3;MX2;GADD45B;TLR7;SPOPL;JMJD1C;PLAUR;SP3;NPL;GPCPD1;CD83;TLR8
ZNF438 human tf ARCHS4 coexpression,59/110,15.18%,0,0.69693101,2.890747727,TYROBP;FCGR3A;CTSS;MS4A7;CLEC7A;CD68;CXCL16;P2RY13;CYBB;TNFRSF1B;CD163;SLC43A2;TLR2;SLC11A1;C3AR1;C1QA;LY96;CHST15;ITGAX;TNFAIP2;CLEC4E;C5AR1;DPYD;CTSB;FPR1;PLEKHO1;CEBPB;RGS18;VSIG4;LILRB3;CCR1;PTAFR;GPR34;RNF149;ACSL1;TLR4;PLXNC1;TLR1;SLC15A3;OSCAR;TLR6;IL1R2;SPI1;TM6SF1;PLBD1;NCF1;SIGLEC14;PLEKHO2;LILRA6;TREM1;NFAM1;CD14;MX2;ITGAM;MAP3K7CL;PLAUR;NPL;OTUD1;TLR8
HLA-DRB3 human tf ARCHS4 coexpression,37/78,10.31%,0,0.745317722,2.837316654,TYROBP;CTSS;CST3;MS4A7;LGALS2;CD68;FGL2;HLA-DPA1;CFP;CYBB;TNFRSF1B;MPEG1;HLA-DRB5;HLA-DPB1;HLA-DQA1;FGD2;SLC43A2;CLEC10A;C1QA;HLA-DRA;ITGAX;CD74;TNFAIP2;HLA-DRB1;RIN3;CTSB;C1QC;IRF9;PLEKHO1;CCR1;MAP3K8;MYO1G;SLC15A3;OSCAR;SPI1;NCF1;PLEKHO2
IRF5 human tf ARCHS4 coexpression,50/113,14.35%,0,0.672387698,2.833990276,TYROBP;CTSS;MS4A7;CD68;HLA-DPA1;CYBB;TNFRSF1B;CD163;MPEG1;HLA-DPB1;FGD2;SLC43A2;TLR2;HLA-DQB1;C3AR1;C1QA;SLC2A6;ITGAX;CD74;TNFAIP2;HLA-DRB1;C5AR1;RIN3;CTSB;C1QC;IRF9;PLEKHO1;CEBPB;VSIG4;LILRB3;CCR1;PTAFR;MYO1G;SH3BP2;SLC15A3;SH3TC1;OSCAR;TNF;SPI1;NCF1;PLEKHO2;LILRA6;CD14;KLF13;MX2;ITGAM;TLR7;CECR1;PLAUR;NPL
BACH1 human tf ARCHS4 coexpression,71/143,15.22%,0,0.691809734,2.818964598,CTSS;MS4A7;FCN1;RGS2;CLEC7A;FGL2;CFP;P2RY13;CYBB;TNFRSF1B;TXNIP;BCL2A1;MPEG1;CD300E;OGFRL1;FAM65B;SLC43A2;TLR2;EVI2A;SLC11A1;CHST15;MCL1;ITGAX;USP15;TNFAIP2;APOBEC3A;CLEC4E;C5AR1;SOD2;NAMPT;DPYD;FPR1;PELI1;CEBPB;LILRB3;CCR1;TMEM154;PTAFR;MAP3K3;MAP3K8;RNF149;ACSL1;LRRK2;TLR4;PLXNC1;JAK2;TLR1;SLC15A3;SSH2;CSGALNACT2;MAP3K1;TLR6;MEGF9;ATP2B1;PLBD1;DMXL2;SIGLEC14;PLEKHO2;LILRA6;TREM1;RASSF3;MX2;ITGAM;SPOPL;JMJD1C;PLAUR;SP3;NPL;GPCPD1;TLR8;CD93
PLEK human tf ARCHS4 coexpression,60/116,15.18%,0,0.693278291,2.781091134,TYROBP;CTSS;MS4A7;CLEC7A;CD68;HLA-DPA1;CFP;CXCL16;P2RY13;CYBB;TNFRSF1B;BCL2A1;MPEG1;CD300E;SLC43A2;TLR2;HLA-DQB1;EVI2A;C3AR1;MCL1;ITGAX;NFKBIZ;TNFAIP2;CLEC4E;HLA-DRB1;C5AR1;RIN3;HCAR3;PELI1;PLEKHO1;CEBPB;LILRB3;CCR1;PTAFR;MAP3K8;TLR4;MYO1G;SH3BP2;SAMSN1;TLR1;SLC15A3;CSGALNACT2;OSCAR;TNF;SPI1;PLBD1;NCF1;SIGLEC14;PLEKHO2;LILRA6;TREM1;KLF13;MX2;ITGAM;TLR7;CECR1;PLAUR;NPL;CD83;TLR8
JDP2 human tf ARCHS4 coexpression,65/138,15.41%,0,0.672843282,2.741281346,TYROBP;FCGR3A;CTSS;MS4A7;MAFB;CLEC7A;CD68;CFP;CXCL16;CYBB;TNFRSF1B;CD163;MPEG1;SLC43A2;TLR2;HMOX1;SLC11A1;C3AR1;C1QA;CTSL;SLC2A6;CHST15;MCL1;ITGAX;RXRA;TNFAIP2;CLEC4E;ARHGEF40;C5AR1;RIN3;CTSB;C1QC;SECTM1;PLEKHO1;CEBPB;VSIG4;LILRB3;CCR1;PTAFR;MAP3K3;ACSL1;TLR4;SH3BP2;SLC15A3;OSCAR;IL1R2;SPI1;NCF1;SIGLEC14;LILRA6;TREM1;NFAM1;PPP1R9B;CD14;PLD3;FAM214B;ITGAM;PQLC1;ABTB1;PLAUR;NPL;ZBTB7B;CEBPD;TLR8;TMEM127
ARNTL human tf ARCHS4 coexpression,60/133,14.54%,0,0.672841114,2.734711714,FCGR3A;CTSS;TSC22D3;CLEC7A;FGL2;CFP;P2RY13;TNFRSF1B;TXNIP;KLF6;KLF2;ZFP36;GIMAP4;MPEG1;OGFRL1;FAM65B;TLR2;EVI2A;CX3CR1;GIMAP8;CHST15;MCL1;ITGAX;USP15;ITGAL;CDC42SE1;TNFAIP3;DPEP2;DPYD;FPR1;IRF9;RASA3;LILRB3;TMEM154;PTAFR;MAP3K3;RNF149;ACSL1;LRRK2;TLR4;SH3BP2;PLXNC1;TLR1;SSH2;MAP3K1;TLR6;MEGF9;NLRP1;NCF1;TREM1;NFAM1;RASSF3;KLF13;MX2;GIMAP6;ITGAM;GIMAP5;ABTB1;STK38;FRAT1
BATF2 human tf ARCHS4 coexpression,65/133,19.79%,0,0.659220781,2.728043742,TYROBP;FCGR3A;CTSS;CD68;P2RY13;TNFRSF1B;TNFSF10;SLC43A2;TLR2;LILRA5;C3AR1;C1QA;SLC2A6;GIMAP8;ITGAX;IFITM3;TNFAIP2;APOBEC3A;CLEC4E;GCH1;IFIT3;GBP1;SOD2;HCAR3;LILRA3;FPR1;C1QC;IRF9;PLEKHO1;CEBPB;LILRB3;IFITM2;CCR1;WARS;ACSL1;TLR4;SLC15A3;OSCAR;TNF;STAT2;SPI1;NCF1;SIGLEC14;PLEKHO2;LILRA6;NFAM1;MX2;DDX58;ISG15;ABTB1;PLAUR;NPL;ZBTB7B;CEBPD;TLR8;MMP19;NADK;ANKRD22;STXBP2;CHMP4B;CSF2RB;IFNGR2;HLX;MEFV;STK40
HLA-DQB1 human tf ARCHS4 coexpression,34/72,11.30%,0,0.705886125,2.721414934,TYROBP;CTSS;CST3;MS4A7;LGALS2;HLA-DPA1;CFP;CYBB;TNFRSF1B;MPEG1;HLA-DRB5;HLA-DQA1;FGD2;CLEC10A;LY96;TNFRSF8;CRIP1;MCL1;HLA-DRA;ITGAX;CD74;HLA-DRB1;RIN3;IRF9;PLEKHO1;MAP3K8;MYO1G;SLC15A3;OSCAR;SPI1;NCF1;PLEKHO2;PPP1R9B;KLF13
