Term,tag %,gene %,fdr,es,nes,lead_genes
NR4A3 human tf ARCHS4 coexpression,54/118,12.66%,0,0.72197083,2.550106689,HLA-DPA1;HLA-DPB1;MS4A7;VSIG4;FOSB;HLA-DQB1;JUNB;HLA-DRB1;HLA-DQA1;KLF6;ZFP36;NR4A2;NFKBIA;CXCL16;KLF4;GPR34;MAP3K8;MCL1;CCL3;CECR1;CDKN1A;NR4A1;RNF144B;MPEG1;CD68;CD83;PFKFB3;C3AR1;SGK1;SOCS3;TNFAIP2;IL10;GADD45B;NLRP3;MSR1;GPR183;THBD;BTG2;PLAUR;TNFAIP3;NFKBIZ;IER3;PPIF;MYO9B;CCR1;SLC2A6;PLA2G7;ZNF331;BCL2A1;SOD2;GBP1;GAB2;INSIG1;FOLR2
NR4A2 human tf ARCHS4 coexpression,46/107,10.68%,0,0.708888776,2.475928281,HLA-DPA1;HLA-DPB1;HLA-DQB1;DUSP1;JUNB;ZFP36L1;FOS;RHOB;JUN;TSC22D3;KLF6;ZFP36;IER2;EVI2A;NFKBIA;PPP1R15A;KLF4;GPR34;MAP3K8;EGR1;MCL1;KLF2;CHMP1B;JUND;NR4A1;JMJD1C;RGS2;ZFAND5;CD83;PELI1;PFKFB3;SGK1;SOCS3;IRS2;GADD45B;NLRP3;GPR183;BTG2;TNFAIP3;NFKBIZ;TRIB1;ARRDC2;HECA;PNRC1;ZNF331;SH3TC1
KLF10 human tf ARCHS4 coexpression,29/67,8.63%,0,0.73799757,2.42063308,HLA-DPA1;HLA-DRA;FOSB;FOS;CD74;KLF6;ZFP36;NR4A2;NFKBIA;KLF4;MAP3K8;EGR1;MCL1;CHMP1B;NR4A1;ARRDC4;RGS2;CD83;VMP1;SGK1;GADD45B;NLRP3;ANXA1;BTG2;IER5;NFKBIZ;TRIB1;ARRDC2;MAP3K2
AHR human tf ARCHS4 coexpression,46/122,9.96%,0,0.665784641,2.4126474,HLA-DPA1;HLA-DPB1;HLA-DRA;MS4A7;FOSB;MAFB;HLA-DRB1;CLEC7A;KLF6;ZFP36;CD300E;NFKBIA;CXCL16;PPP1R15A;KLF4;CTSS;MAP3K8;BACH1;MCL1;TREM1;DPYD;MPEG1;CD68;ATP2B1;CD83;PFKFB3;SGK1;NLRP3;LHFPL2;ANXA1;DMXL2;THBD;PLAUR;TNFAIP3;NFKBIZ;TRIB1;CDKN2B;IER3;PPIF;MAP3K2;MYO9B;TMEM127;SGMS2;ITGAV;CCR1;CTSO
KLF4 human tf ARCHS4 coexpression,37/95,9.28%,0,0.700633203,2.363773572,HLA-DPA1;HLA-DPB1;MS4A7;HLA-DQB1;JUNB;FOS;RHOB;JUN;HLA-DRB1;KLF6;ZFP36;NR4A2;LGALS2;MAP3K8;MCL1;KLF2;JUND;NR4A1;CFP;TREM1;CEBPD;MPEG1;CD83;PFKFB3;SGK1;SOCS3;IRS2;GADD45B;NLRP3;CH25H;THBD;IER5;NFKBIZ;TRIB1;ARRDC2;TMEM127;HECA
FOSB human tf ARCHS4 coexpression,46/124,10.68%,0,0.680213425,2.354588644,HLA-DPA1;HLA-DPB1;HLA-DQB1;DUSP1;JUNB;ZFP36L1;FOS;RHOB;JUN;TSC22D3;KLF6;ZFP36;IER2;NR4A2;NFKBIA;PPP1R15A;KLF4;MAP3K8;EGR1;MCL1;KLF2;CHMP1B;NR4A1;JMJD1C;TREM1;CEBPD;ZFAND5;CD83;SGK1;SOCS3;IRS2;GADD45B;NLRP3;GPR183;THBD;BTG2;IER5;TNFAIP3;NFKBIZ;TRIB1;ARRDC2;MYO9B;HECA;PNRC1;ZNF331;SH3TC1
ATF3 human tf ARCHS4 coexpression,59/128,12.66%,0,0.66681791,2.35320754,MS4A7;VSIG4;FOSB;MAFB;JUN;KLF6;ZFP36;CD163;NFKBIA;CTSB;CXCL16;PPP1R15A;KLF4;MAP3K8;HMOX1;MCL1;C5AR1;JUND;CCL3;TNFRSF1B;SLC43A2;CDKN1A;NR4A1;C1QA;PLD3;CEBPD;CD68;CD83;PFKFB3;C3AR1;SGK1;SOCS3;TNFAIP2;CYP27A1;IL10;GADD45B;MSR1;LHFPL2;THBD;BTG2;IER5;NPL;PLAUR;TNFAIP3;HSPA6;NFKBIZ;TRIB1;IER3;PPIF;MYO9B;CCR1;SLC2A6;C1QC;PLA2G7;BCL2A1;SOD2;GBP1;INSIG1;FOLR2
ETV3 human tf ARCHS4 coexpression,59/131,14.94%,0,0.651342478,2.308406833,HLA-DPA1;MS4A7;FOSB;MAFB;ZFP36;SAT1;CD300E;NR4A2;NFKBIA;CXCL16;KLF4;CTSS;MAP3K8;BACH1;MCL1;C5AR1;TNFRSF1B;SLC43A2;CDKN1A;RNF144B;TREM1;MPEG1;CD68;CD83;PELI1;PFKFB3;C3AR1;SGK1;SOCS3;TNFAIP2;IL10;GADD45B;NLRP3;LHFPL2;GPR183;THBD;IER5;PLAUR;TNFAIP3;NFKBIZ;TRIB1;IER3;PPIF;MAP3K2;MYO9B;HECA;CCR1;SLC2A6;PLA2G7;BCL2A1;CYBB;SOD2;GBP1;INSIG1;FOLR2;RAB20;ITGAX;SLC30A1;IL1B
JUN human tf ARCHS4 coexpression,33/85,9.39%,0,0.677713267,2.306329889,MS4A7;FOSB;DUSP1;JUNB;ZFP36L1;FOS;RHOB;KLF6;ZFP36;IER2;NR4A2;PPP1R15A;KLF4;ARHGEF40;EGR1;MCL1;KLF2;JUND;NR4A1;CEBPD;CFD;SGK1;SOCS3;IRS2;GADD45B;BTG2;IER5;TNFAIP3;HSPA6;NFKBIZ;TRIB1;HSP90AA1;PNRC1
TFEC human tf ARCHS4 coexpression,52/125,11.10%,0,0.637399526,2.26622311,HLA-DPA1;MS4A7;VSIG4;MAFB;HLA-DRB1;CLEC7A;CLEC4E;EVI2A;CD163;LIPA;CTSB;CXCL16;CTSS;FGL2;MAP3K8;LY96;CD14;C5AR1;CECR1;TNFRSF1B;SLC43A2;C1QA;DPYD;MPEG1;CD68;CD83;PFKFB3;C3AR1;SOCS3;TNFAIP2;CYP27A1;CSF2RB;DDX60L;MSR1;LHFPL2;DMXL2;PLXNC1;PLEKHO1;NPL;PLAUR;AQP9;PTAFR;MYO9B;CLEC12A;CCR1;SLC2A6;C1QC;PLA2G7;TLR1;BCL2A1;CYBB;SOD2
ZFP36 human tf ARCHS4 coexpression,42/124,9.39%,0,0.636947468,2.227670604,HLA-DPA1;FOSB;HLA-DQB1;DUSP1;ZFP36L1;FOS;RHOB;JUN;HLA-DRB1;TSC22D3;KLF6;IER2;NR4A2;NFKBIA;PPP1R15A;KLF4;MAP3K8;MCL1;KLF2;C5AR1;JUND;TNFRSF1B;NR4A1;CFP;TREM1;CEBPD;MPEG1;CFD;PFKFB3;SOCS3;GIMAP6;GADD45B;NLRP3;BTG2;TNFAIP3;NFKBIZ;ARRDC2;MYO9B;TMEM127;MAP3K3;DPEP2;PNRC1
ZNF267 human tf ARCHS4 coexpression,60/141,12.47%,0,0.625530704,2.214520834,MS4A7;HLA-DRB1;NAMPT;CLEC7A;CLEC4E;EVI2A;CD300E;CTSS;FGL2;MAP3K8;LY96;BACH1;MCL1;C5AR1;TNFRSF1B;SLC43A2;JMJD1C;TREM1;SLC11A1;MPEG1;CD68;RGS2;ATP2B1;CD83;PELI1;PFKFB3;C3AR1;SOCS3;TNFAIP2;OGFRL1;CSF2RB;GADD45B;DDX60L;NLRP3;LHFPL2;RNF149;DMXL2;PLXNC1;PLEKHO1;IER5;NPL;PLAUR;TNFAIP3;NFKBIZ;AQP9;BIRC3;IER3;SSH2;PPIF;MAP3K2;MYO9B;USP15;CCR1;PLA2G7;TLR1;CYBB;SOD2;KIAA1551;GBP1;INSIG1
ZNF366 human tf ARCHS4 coexpression,29-Oct,2.17%,0,0.776526857,2.194604858,HLA-DPA1;HLA-DPB1;HLA-DRA;MS4A7;HLA-DQB1;HLA-DRB1;HLA-DQA1;LIPA;CTSB;CLEC10A
GZF1 human tf ARCHS4 coexpression,44/108,17.95%,0,0.619548223,2.147664891,FOSB;DUSP1;JUNB;FOS;RHOB;KLF6;ZFP36;NR4A2;NFKBIA;PPP1R15A;KLF4;MAP3K8;MCL1;TREM1;ATP2B1;ZFAND5;CD83;PFKFB3;SGK1;IFRD1;NLRP3;GPR183;THBD;BTG2;IER5;TNFAIP3;TRIB1;PPIF;MYO9B;ZNF217;SH3TC1;UBC;RNF169;GAB2;PPP1R9B;SLC30A1;FAM168B;NBR1;FEM1B;CXCR4;DENND5A;TLE3;SP3;PICALM
BACH1 human tf ARCHS4 coexpression,55/143,12.36%,0.000595865,0.569617758,2.10583294,MS4A7;NAMPT;CLEC7A;CLEC4E;EVI2A;CD300E;CTSS;FGL2;MAP3K8;MCL1;C5AR1;TNFRSF1B;SLC43A2;CFP;JMJD1C;TXNIP;TREM1;SLC11A1;DPYD;MPEG1;CHST15;RGS2;ATP2B1;PELI1;TNFAIP2;OGFRL1;CSF2RB;DDX60L;FCN1;NLRP3;RNF149;P2RY13;DMXL2;PLXNC1;NPL;PLAUR;AQP9;APOBEC3A;IPMK;SSH2;PTAFR;MAP3K2;MYO9B;CLEC12A;USP15;MAP3K3;CCR1;JAK2;TLR1;BCL2A1;CYBB;SOD2;KIAA1551;RNF169;GAB2
HLA-DRB3 human tf ARCHS4 coexpression,28/78,10.91%,0.000558623,0.649987675,2.095696152,HLA-DPA1;HLA-DPB1;HLA-DRA;MS4A7;CD74;HLA-DRB1;HLA-DQA1;HLA-DRB5;LGALS2;CTSB;CTSS;FGL2;MAP3K8;CLEC10A;CECR1;TNFRSF1B;SLC43A2;C1QA;CFP;MPEG1;CD68;CD83;TNFAIP2;PLEKHO1;MYO9B;CCR1;C1QC;CYBB
FOS human tf ARCHS4 coexpression,24/56,7.45%,0.000525763,0.652291135,2.095228174,FOSB;JUNB;ZFP36L1;JUN;TSC22D3;KLF6;ZFP36;IER2;NR4A2;NFKBIA;PPP1R15A;KLF4;ARL4A;MAP3K8;EGR1;CHMP1B;JUND;NR4A1;RGS2;GIMAP6;GPR183;BTG2;TNFAIP3;NFKBIZ
SMAD7 human tf ARCHS4 coexpression,48/129,13.80%,0.000496554,0.6030721,2.090679473,MS4A7;VSIG4;FOSB;MAFB;JUNB;CD163;NR4A2;CTSB;CXCL16;KLF4;MAP3K8;CD14;HMOX1;MCL1;C5AR1;JUND;TNFRSF1B;SLC43A2;CDKN1A;C1QA;CD68;CD83;PFKFB3;C3AR1;SGK1;SOCS3;TNFAIP2;GADD45B;LHFPL2;THBD;IER5;NPL;PLAUR;TNFAIP3;IER3;PPIF;MYO9B;TMEM127;CCR1;SLC2A6;C1QC;PLA2G7;SH3TC1;MOGS;INSIG1;FOLR2;PPP1R9B;RAB20
HLA-DQB1 human tf ARCHS4 coexpression,21/72,6.73%,0.00047042,0.629526856,2.090522239,HLA-DPA1;HLA-DRA;MS4A7;CD74;HLA-DRB1;HLA-DQA1;HLA-DRB5;LGALS2;CTSS;MAP3K8;CLEC10A;CRIP1;LY96;MCL1;CECR1;TNFRSF1B;CFP;MPEG1;CD83;GPR183;PLEKHO1
EGR1 human tf ARCHS4 coexpression,14/46,7.22%,0.000446899,0.677475753,2.08210935,FOSB;ZFP36L1;FOS;TMEM176B;JUN;ZFP36;NR4A2;MARCKS;CHMP1B;NR4A1;MOB1B;BTG2;PTEN;RIN2
HLA-DQB2 human tf ARCHS4 coexpression,16-Aug,6.16%,0.000425618,0.851429657,2.076581208,HLA-DPA1;HLA-DPB1;HLA-DQB1;DUSP1;CD74;NFKBIA;CHMP1B;GPR183
