Term,tag %,gene %,fdr,es,nes,lead_genes
ETV3L human tf ARCHS4 coexpression,66/109,11.87%,0,0.762751567,2.968185472,PFKFB3;BCL2A1;IL1B;CXCL2;CD163;CXCL3;MMP19;CCL3L1;TLR2;MAP3K8;PLAUR;CD83;DUSP2;SOD2;NFKB1;ICAM1;EHD1;SLC43A2;CXCL16;GADD45B;TNFRSF1B;WARS;ATP13A3;MAFB;OLR1;PTGS2;CDKN1A;SOCS3;IL1RN;CCL3;ISG15;MS4A7;SIGLEC1;TNF;ETV3;TNFAIP6;LHFPL2;PDE4A;C3AR1;CEBPB;CTSL;SLC15A3;TNFAIP2;NFKBIA;INSIG1;BCL3;MX2;C1QA;GBP1;GCH1;MYO9B;ATF3;C1QC;B4GALT5;IFNGR2;IFIT3;MAP2K3;IL10;VSIG4;RSAD2;SLC2A6;LILRB5;IER3;MOB3C;PTX3;RELB
ETV3 human tf ARCHS4 coexpression,81/131,14.69%,0,0.754523293,2.914199136,PFKFB3;BCL2A1;IL1B;CXCL2;CD300E;ITGAX;CXCL3;MMP19;C5AR1;TLR2;MAP3K8;GPR183;PLAUR;CD83;PPIF;DUSP2;SOD2;KDM6B;NFKB1;ICAM1;EHD1;SLC43A2;CXCL16;GADD45B;TNFRSF1B;THBD;NLRP3;ATP13A3;PDE4B;MAFB;NFKBIZ;ACSL1;OLR1;PTGS2;CDKN1A;SOCS3;IL1RN;ARL5B;MS4A7;SIGLEC1;TNF;NR4A3;TNFAIP6;TIPARP;LHFPL2;C3AR1;CEBPB;CTSS;SLC15A3;TNFAIP2;NFKBIA;INSIG1;TNFAIP3;BCL3;GRASP;TREM1;GBP1;GPCPD1;GCH1;MYO9B;ATF3;MPEG1;LIPN;BACH1;B4GALT5;RNF144B;RAB20;IL10;PELI1;SLC2A6;GPNMB;IER3;DENND5A;RELB;PRDM1;CD68;RGS1;N4BP1;SGK1;HLA-DPA1;CSGALNACT2
NR4A3 human tf ARCHS4 coexpression,88/118,16.89%,0,0.773504079,2.866760489,PFKFB3;BCL2A1;IL1B;CXCL2;ITGAX;CXCL3;MMP19;MAP3K8;GPR183;PLAUR;CD83;PPIF;DUSP2;SOD2;KDM6B;NFKB1;CREM;ICAM1;EHD1;CXCL16;GADD45B;ZNF331;THBD;NLRP3;ATP13A3;PDE4B;NFKBIZ;OLR1;PTGS2;CDKN1A;SOCS3;IL1RN;ARL5B;CCL3;SLC16A6;MS4A7;SIGLEC1;TNF;ETV3;TIPARP;PDE4A;C3AR1;CEBPB;CECR1;SLC15A3;TNFAIP2;NFKBIA;INSIG1;TNFAIP3;BCL3;GRASP;MX2;OAS2;IL23A;GBP1;GCH1;MSR1;MYO9B;ATF3;MPEG1;FOSL2;LIPN;RNF144B;RAB20;BTG2;IFIT3;IL10;VSIG4;MX1;RSAD2;SLC2A6;IER3;DENND5A;RELB;FURIN;IFIT2;CD68;RGS1;N4BP1;SGK1;KLF6;HLA-DPA1;CSGALNACT2;PLA2G7;HLA-DRB1;OTUD1;EGR3;NR4A1
MTF1 human tf ARCHS4 coexpression,79/144,10.88%,0,0.744285859,2.837263048,AQP9;PFKFB3;BCL2A1;IL1B;CXCL2;CD300E;CD163;NAMPT;CLEC7A;ITGAX;CXCL3;APOBEC3A;MMP19;C5AR1;CLEC4E;TLR2;PLAUR;CD83;PPIF;SOD2;KDM6B;NFKB1;ICAM1;EHD1;SLC43A2;CXCL16;TNFRSF1B;NLRP3;SLC11A1;ATP13A3;MAFB;NFKBIZ;ACSL1;OLR1;PTGS2;PNRC1;SOCS3;IL1RN;MS4A7;SIGLEC1;TNF;TNFAIP6;PDE4A;C3AR1;CEBPB;DMXL2;CTSS;CD14;CTSL;SLC15A3;TNFAIP2;NFKBIA;STK40;TNFAIP3;BCL3;TREM1;CLEC5A;MX2;CHST15;GBP1;GCH1;SIGLEC14;MYO9B;MPEG1;FOSL2;LIPN;MXD1;B4GALT5;CLEC4D;DDX60L;IFNGR2;MAP2K3;IL10;PELI1;IRF9;RSAD2;TMEM127;SLC2A6;IER3
ZNF267 human tf ARCHS4 coexpression,89/141,14.84%,0,0.761163963,2.801481399,AQP9;PFKFB3;ATP2B1;IL1B;GK;CD300E;BIRC3;NAMPT;CLEC7A;ITGAX;CXCL3;C5AR1;CLEC4E;TLR2;MAP3K8;PLAUR;CD83;PPIF;DUSP2;SOD2;KDM6B;NFKB1;ICAM1;EHD1;SLC43A2;GADD45B;TNFRSF1B;RNF149;NLRP3;SLC11A1;ATP13A3;PDE4B;NFKBIZ;ACSL1;OLR1;PTGS2;JMJD1C;SOCS3;IL1RN;SLC16A6;MS4A7;TNF;RGS2;NR4A3;ETV3;TNFAIP6;LHFPL2;C3AR1;FGL2;PLXNC1;CEBPB;DMXL2;CTSS;SLC15A3;TNFAIP2;INSIG1;TNFAIP3;BCL3;TREM1;MX2;OAS2;GBP1;GPCPD1;SSH2;MYO9B;MPEG1;FOSL2;LIPN;BACH1;MXD1;CLEC4D;DDX60L;RAB20;IFNGR2;SMCHD1;PELI1;LY96;IER3;DENND5A;RELB;RASSF3;LRRK2;CD68;KIAA1551;USP15;NPL;N4BP1;CSGALNACT2;SP3
NFKB1 human tf ARCHS4 coexpression,70/109,14.00%,0,0.760466593,2.78131251,PFKFB3;BCL2A1;IL1B;CXCL2;CD163;BIRC3;CXCL3;MMP19;C5AR1;TLR2;MAP3K8;PLAUR;CD83;PPIF;DUSP2;SOD2;KDM6B;ICAM1;EHD1;SLC43A2;CXCL16;TNFRSF1B;NLRP3;WARS;ATP13A3;NFKBIZ;PTGS2;SOCS3;IL1RN;MS4A7;SIGLEC1;TNF;NR4A3;ETV3;TNFAIP6;LHFPL2;C3AR1;CEBPB;CTSS;SLC15A3;TNFAIP2;NFKBIA;STK40;INSIG1;TNFAIP3;BCL3;MX2;OAS2;C1QA;GBP1;GCH1;MYO9B;MPEG1;FOSL2;C1QC;B4GALT5;IFNGR2;IFIT3;MAP2K3;IL10;MX1;RSAD2;SLC2A6;IER3;DENND5A;RELB;IFIT2;CD68;NPL;N4BP1
MSC human tf ARCHS4 coexpression,63/109,11.87%,0,0.732856151,2.749981542,PFKFB3;BCL2A1;IL1B;CXCL2;CD163;CXCL3;MMP19;C5AR1;TLR2;PLAUR;CD83;PPIF;DUSP2;SOD2;NFKB1;ICAM1;EHD1;SLC43A2;CXCL16;GADD45B;TNFRSF1B;THBD;ATP13A3;MAFB;OLR1;PTGS2;CDKN1A;SOCS3;IL1RN;CCL3;SIGLEC1;TNF;TNFAIP6;LHFPL2;PDE4A;C3AR1;CEBPB;CD14;CTSL;SLC15A3;TNFAIP2;INSIG1;BCL3;CLEC5A;C1QA;MYO9B;ATF3;C1QC;CTSB;RAB20;IFNGR2;MAP2K3;IL10;VSIG4;MESDC1;CYP1B1;SLC2A6;GPNMB;LILRB5;IER3;CYP27A1;MOB3C;RELB
SNAI1 human tf ARCHS4 coexpression,51/81,11.87%,0,0.75985883,2.736179077,PFKFB3;BCL2A1;IL1B;CXCL2;CD300E;CDC42EP2;CXCL3;MMP19;MAP3K8;PLAUR;CD83;PPIF;DUSP2;SOD2;KDM6B;NFKB1;CREM;ICAM1;EHD1;GADD45B;THBD;NLRP3;ATP13A3;OLR1;PTGS2;CDKN1A;SOCS3;IL1RN;SIGLEC1;TNF;NR4A3;ETV3;UPP1;TNFAIP6;PDE4A;CEBPB;TNFAIP2;INSIG1;BCL3;GRASP;ATF3;FOSL2;LIPN;RAB20;IL10;VSIG4;MESDC1;SLC2A6;IER3;PTX3;RELB
NFE2L2 human tf ARCHS4 coexpression,59/104,11.49%,0,0.716930648,2.648760117,PFKFB3;BCL2A1;IL1B;GK;CXCL2;CD163;CXCL3;MMP19;TLR2;PLAUR;CD83;PPIF;SOD2;NFKB1;EHD1;SLC43A2;CXCL16;THBD;ATP13A3;MAFB;ACSL1;OLR1;PTGS2;CDKN1A;SOCS3;IL1RN;SIGLEC1;TNF;ETV3;TNFAIP6;LHFPL2;C3AR1;CEBPB;CTSL;SLC15A3;TNFAIP2;INSIG1;BCL3;ZDHHC5;C1QA;MYO9B;ATF3;FOSL2;SGMS2;C1QC;B4GALT1;B4GALT5;RNF144B;CTSB;RAB20;IFNGR2;VSIG4;TMEM127;CYP1B1;GPNMB;CD9;IER3;PICALM;CYP27A1
EGR2 human tf ARCHS4 coexpression,68/102,16.89%,0,0.715874408,2.599891018,BCL2A1;IL1B;CD163;CLEC7A;ITGAX;CXCL3;MMP19;C5AR1;PLAUR;ZFP36L1;CD83;PPIF;DUSP2;KDM6B;NFKB1;CREM;ICAM1;SLC43A2;CXCL16;GADD45B;TNFRSF1B;THBD;ATP13A3;CCL4;MAFB;OLR1;IL1RN;CCL3;MS4A7;TNF;NR4A3;LHFPL2;PDE4A;C3AR1;CEBPB;CTSL;SLC15A3;INSIG1;CLEC5A;MSR1;MYO9B;ATF3;CTSB;RAB20;BTG2;SDC2;VSIG4;CYP1B1;MARCO;GPNMB;CYP27A1;MOB3C;RELB;PRDM1;FURIN;ZFYVE16;CD68;NPL;SGK1;PPARD;CSGALNACT2;ACP5;PLA2G7;HLA-DRB1;SLC6A6;OTUD1;EGR3;NR4A1
