Term,tag %,gene %,fdr,es,nes,lead_genes
ETV3 human tf ARCHS4 coexpression,89/131,11.44%,0.0,0.8395935227989394,2.712535930989754,IER3;OLR1;CXCL2;C5AR1;CXCL3;PLAUR;ZFP36;CD83;MS4A7;BCL2A1;IL1B;IL10;ATF3;NR4A2;TNFAIP3;NFKBIA;SGK1;MAFB;RGS1;GADD45B;GPR183;CYBB;FOSB;KLF4;DUSP2;CDKN1A;MAP3K8;SLC43A2;CTSS;SOD2;THBD;SAMSN1;SOCS3;NR4A3;PFKFB3;LHFPL2;CEBPB;C3AR1;NFKBIZ;MCL1;TNFRSF1B;TNFAIP2;CXCL16;HBEGF;NLRP3;ICAM1;PDE4B;TREM1;KDM6B;ACSL1;PTGS2;PLA2G7;SIGLEC1;SAT1;INSIG1;METRNL;IL1RN;CD300E;HLA-DPA1;ATP13A3;PPIF;RAB20;TLR2;FOLR2;RNF144B;CCL3L3;ITGAX;MPEG1;ZC3H12A;SLC15A3;TIPARP;OSM;MAP3K2;NFKB1;TLR4;EHD1;ARL5B;GPCPD1;RGCC;PELI1;MYO9B;GRASP;MMP19;BCL3;BACH1;CSGALNACT2;TNF;OTUD1;HECA
NR4A3 human tf ARCHS4 coexpression,86/118,11.22%,0.0,0.8484344025101201,2.698961913099516,IER3;OLR1;CXCL2;VSIG4;CXCL3;PLAUR;ZFP36;CD83;MS4A7;BCL2A1;IL1B;ZNF331;IL10;CCL3;ATF3;NR4A2;TNFAIP3;NFKBIA;SGK1;RGS1;JUNB;GADD45B;GPR183;MSR1;FOSB;KLF4;DUSP2;CDKN1A;MAP3K8;SOD2;THBD;SAMSN1;SOCS3;CREM;PFKFB3;KLF6;CEBPB;C3AR1;NFKBIZ;GPR34;MCL1;NR4A1;TNFAIP2;CXCL16;HBEGF;BTG2;NLRP3;ICAM1;PDE4B;KDM6B;PTGS2;PLA2G7;SIGLEC1;INSIG1;METRNL;IL1RN;HLA-DPA1;ATP13A3;PPIF;RAB20;FOLR2;RNF144B;CCL3L3;HLA-DQB1;ITGAX;MPEG1;ZC3H12A;SLC15A3;TIPARP;OSM;CECR1;NFKB1;FOSL2;EHD1;ARL5B;RGCC;PDE4A;ETV3;MYO9B;GRASP;MMP19;BCL3;CSGALNACT2;MX2;TNF;OTUD1
ZNF267 human tf ARCHS4 coexpression,100/141,17.57%,0.0,0.7918185153842353,2.5748191861978094,IER3;OLR1;C5AR1;CXCL3;PLAUR;NAMPT;CD83;MS4A7;IL1B;TNFAIP3;SLC11A1;RGS2;GADD45B;CYBB;AQP9;DUSP2;MAP3K8;SLC43A2;CTSS;SOD2;SAMSN1;SOCS3;NR4A3;PFKFB3;LHFPL2;CEBPB;C3AR1;NPL;NFKBIZ;CLEC7A;MCL1;TNFRSF1B;JMJD1C;TNFAIP2;ATP2B1;GK;FGL2;NLRP3;ICAM1;MXD1;PDE4B;TREM1;KDM6B;ACSL1;PTGS2;PLA2G7;INSIG1;METRNL;IL1RN;CD300E;ATP13A3;DMXL2;PPIF;PLXNC1;RAB20;TLR2;RNF149;BIRC3;CCL3L3;ITGAX;MPEG1;ZC3H12A;SLC15A3;OSM;MAP3K2;NFKB1;FOSL2;TLR4;EHD1;GPCPD1;PELI1;ETV3;MYO9B;IFNGR2;OGFRL1;BCL3;BACH1;CSGALNACT2;MX2;TNF;SSH2;RAB8B;DENND5A;KIAA1551;LY96;TLR7;LILRB3;TLR6;RASSF3;HCAR3;CHST11;ZCCHC2;KDM7A;PLEKHO2;NOD2;USP15;SLC16A6;CCR1;TNFAIP6;GBP1
SNAI1 human tf ARCHS4 coexpression,60/81,11.67%,0.0,0.8277940833499916,2.5522458760322047,IER3;OLR1;CXCL2;VSIG4;CXCL3;PLAUR;CD83;BCL2A1;IL1B;IL10;ATF3;NR4A2;SGK1;RGS1;GADD45B;FOSB;KLF4;DUSP2;CDKN1A;MAP3K8;SOD2;THBD;SAMSN1;SOCS3;CREM;NR4A3;UPP1;PFKFB3;CEBPB;GPR34;TNFAIP2;HBEGF;NLRP3;ICAM1;KDM6B;PTGS2;ADM;SIGLEC1;INSIG1;METRNL;IL1RN;CD300E;ATP13A3;PPIF;RAB20;FOLR2;CCL3L3;ZC3H12A;OSM;NFKB1;FOSL2;EHD1;PDE4A;ETV3;GRASP;MMP19;BCL3;TNF;OTUD1;CDC42EP2
ATF3 human tf ARCHS4 coexpression,87/128,11.22%,0.0,0.7943529454005166,2.547429554777988,IER3;OLR1;CXCL2;VSIG4;C5AR1;CXCL3;PLAUR;ZFP36;CD83;CD163;MS4A7;BCL2A1;IL1B;IL10;CCL3;TNFAIP3;TREM2;NFKBIA;SGK1;MAFB;LGMN;PPP1R15A;GADD45B;CTSL;MSR1;FOSB;KLF4;DUSP2;CDKN1A;MAP3K8;SLC43A2;CCL2;SOD2;THBD;STAB1;HMOX1;SOCS3;NR4A3;PFKFB3;LHFPL2;KLF6;CEBPB;C3AR1;NPL;NFKBIZ;MCL1;TNFRSF1B;NR4A1;TNFAIP2;CEBPD;CXCL16;HBEGF;BTG2;ICAM1;KDM6B;PTGS2;C1QA;PLA2G7;SIGLEC1;INSIG1;METRNL;CTSB;IL1RN;ATP13A3;C1QC;PPIF;RAB20;RNASE1;FOLR2;CCL3L3;ZC3H12A;LAMP1;SLC15A3;NFKB1;FOSL2;EHD1;ARL5B;RGCC;JUN;ETV3;LILRB5;MYO9B;CYP27A1;BCL3;JUND;TNF;OTUD1
NFKB1 human tf ARCHS4 coexpression,79/109,17.72%,0.0,0.7959050593600114,2.5323394321735493,IER3;CXCL2;C5AR1;CXCL3;PLAUR;CD83;CD163;MS4A7;BCL2A1;IL1B;IL10;TNFAIP3;NFKBIA;LGMN;CYBB;DUSP2;MAP3K8;SLC43A2;CTSS;SOD2;STAB1;SAMSN1;SOCS3;NR4A3;PFKFB3;LHFPL2;CEBPB;C3AR1;NPL;NFKBIZ;TNFRSF1B;TNFAIP2;CXCL16;NLRP3;ICAM1;KDM6B;PTGS2;C1QA;SIGLEC1;INSIG1;METRNL;IL1RN;ATP13A3;C1QC;PPIF;TLR2;FOLR2;BIRC3;CCL3L3;MPEG1;ZC3H12A;LAMP1;SLC15A3;FOSL2;TLR4;EHD1;ETV3;MYO9B;MMP19;IFNGR2;BCL3;MX2;TNF;DENND5A;TLR7;TRPM2;STK40;IFIT3;IFIT2;SLC2A6;TOM1;CHST11;PLEKHO2;NOD2;SERPINB2;CCR1;TNFAIP6;GBP1;MX1
NR4A2 human tf ARCHS4 coexpression,78/107,14.87%,0.0,0.8129151127546332,2.4948783804352836,OLR1;ZFP36;CD83;ZFP36L1;DUSP1;ZNF331;ATF3;TNFAIP3;NFKBIA;SGK1;RGS1;PPP1R15A;JUNB;RGS2;GADD45B;GPR183;KLF4;DUSP2;MAP3K8;RASGEF1B;FOS;CHMP1B;SAMSN1;SOCS3;CREM;NR4A3;PFKFB3;KLF6;NFKBIZ;GPR34;MCL1;NR4A1;JMJD1C;ID2;CCL4L2;HBEGF;BTG2;NLRP3;MAF;EGR1;PDE4B;KDM6B;PNRC1;PTGS2;IER2;HLA-DPA1;RHOB;CXCR4;IRS2;CCL3L3;HLA-DQB1;ZC3H12A;TIPARP;OSM;ZFAND5;NFKB1;FOSL2;GPCPD1;SELK;RGCC;PELI1;JUN;ETV3;GRASP;KLF2;TSC22D3;JUND;OTUD1;HECA;PAG1;SMAD7;GZF1;EGR2;TLE3;ITPRIP;SH3TC1;ERN1;B3GNT5
FOSL2 human tf ARCHS4 coexpression,84/143,16.69%,0.0,0.7565937562615339,2.48780901507408,IER3;OLR1;C5AR1;CXCL3;PLAUR;ZFP36;ATF3;SLC11A1;JUNB;GADD45B;CYBB;FOSB;KLF4;CDKN1A;MAP3K8;SLC43A2;CTSS;SOD2;THBD;SOCS3;NR4A3;PFKFB3;CEBPB;C3AR1;NFKBIZ;MCL1;TNFRSF1B;TNFAIP2;CEBPD;CXCL16;HBEGF;NLRP3;ICAM1;TREM1;KDM6B;ACSL1;PTGS2;G0S2;METRNL;IL1RN;CD300E;ATP13A3;PPIF;RAB20;TLR2;ITGAX;MPEG1;ZC3H12A;LAMP1;SLC15A3;OSM;CD93;NFKB1;TLR4;EHD1;RGCC;ETV3;MYO9B;GRASP;MMP19;BCL3;BACH1;CSGALNACT2;SLC6A6;OTUD1;BCL6;PPARD;DENND5A;PICALM;SMAD7;FURIN;ZDHHC7;LILRB3;PNPLA6;ARAP1;ITGAM;ITPRIP;STXBP2;ADAM8;TOM1;CHST11;MAP3K3;PLEKHO2;NOD2
MTF1 human tf ARCHS4 coexpression,80/144,11.29%,0.0,0.7579586539354103,2.4599329297286827,IER3;OLR1;CXCL2;C5AR1;CXCL3;PLAUR;NAMPT;CD83;CD163;MS4A7;BCL2A1;IL1B;IL10;TNFAIP3;CD14;NFKBIA;MAFB;SLC11A1;CTSL;CYBB;AQP9;SLC43A2;CCL2;CTSS;SOD2;SAMSN1;SOCS3;PFKFB3;CLEC5A;CXCL1;CEBPB;C3AR1;NPL;NFKBIZ;CLEC7A;MCL1;TNFRSF1B;TNFAIP2;CXCL16;FCGR1A;NLRP3;ICAM1;MXD1;TREM1;KDM6B;PNRC1;ACSL1;PTGS2;PLA2G7;SIGLEC1;METRNL;PTAFR;IL1RN;CD300E;ATP13A3;DMXL2;PPIF;TLR2;ITGAX;MPEG1;ZC3H12A;SLC15A3;LILRA6;NFKB1;FOSL2;SIGLEC14;TLR4;EHD1;PDE4A;PELI1;MYO9B;APOBEC3A;MMP19;IFNGR2;BCL3;CSGALNACT2;SLC6A6;MX2;TNF;BCL6
BACH1 human tf ARCHS4 coexpression,85/143,17.30%,0.0,0.7471875881455762,2.438697720764458,OLR1;C5AR1;PLAUR;NAMPT;MS4A7;BCL2A1;SLC11A1;RGS2;CYBB;AQP9;MAP3K8;SLC43A2;CTSS;SOD2;CEBPB;NPL;CLEC7A;MCL1;FPR1;TNFRSF1B;JMJD1C;TNFAIP2;ATP2B1;GK;FGL2;NLRP3;MXD1;TREM1;FCN1;KDM6B;ACSL1;PTAFR;CD300E;ATP13A3;DMXL2;PLXNC1;TLR2;RNF149;ITGAX;MPEG1;SLC15A3;LILRA6;CD93;MAP3K2;NFKB1;FOSL2;SIGLEC14;TLR4;SORL1;GPCPD1;PELI1;ETV3;MYO9B;MNDA;APOBEC3A;IFNGR2;OGFRL1;CSGALNACT2;SLC6A6;MX2;SSH2;BCL6;WDR26;DPYD;FCGR1B;DENND5A;TXNIP;PICALM;KIAA1551;LILRB3;TLR6;ARAP1;CFP;ITGAM;RASSF3;CHST15;ZCCHC2;KDM7A;MAP3K3;PLEKHO2;NOD2;P2RY13;USP15;IPMK;CCR1
