TF,fdr,nes,es,tag %,gene %,lead_genes
MYB OE HUMAN GSE2816 CREEDSID GENE 2154 DOWN,0.0,2.832500474647192,0.6957860114466493,67/124,12.79%,SAT1;TYROBP;CTSS;FCN1;SERPINA1;MAFB;HLA-DPA1;CXCL16;CYBB;TXNIP;KLF6;TNFSF10;ZFP36;BCL2A1;HLA-DRB5;TMEM176B;HLA-DQA1;OGFRL1;S100A4;TLR2;C3AR1;LY96;SLC2A6;HLA-DRA;TIMP1;CD74;IFITM3;TNFAIP2;MARCKS;KLF4;APOBEC3A;BIRC3;CLEC4E;TNFAIP3;HLA-DRB1;IFIT3;GBP1;IER5;SOD2;NAMPT;HCAR3;CTSB;PELI1;CEBPB;IFITM2;PPP1R15A;CCR1;WARS;ACSL1;NFKBIA;SAMSN1;SDCBP;SLC15A3;TBC1D9;ANXA1;NCF1;IFIT2;MIR22HG;SGK1;CD14;IFI44L;THBS1;IER3;RIN2;MX2;ISG15;GADD45B
ZXDC DEPLETION HUMAN GSE45417 CREEDSID GENE 3044 DOWN,0.0,2.7457603967889446,0.6726680061828552,61/124,15.60%,SAT1;TYROBP;MAFB;RGS2;CD68;CXCL16;TNFRSF1B;ZFP36;BCL2A1;CD163;DUSP6;FOS;ZFP36L1;KCNE1;C3AR1;LY96;CD55;ITGAX;DDIT4;CD52;TIMP1;ITGAL;CD36;TNFAIP3;C5AR1;MT2A;IFIT3;UPP1;HCAR3;CTSB;LILRA3;IRF9;CEBPB;VSIG4;CDKN1A;PPP1R15A;CCR1;GPR34;KLHL2;JUN;TLR1;GABARAPL1;TRIB1;ANXA1;NCF1;TREM1;MIR22HG;SGK1;CD14;IER3;OLIG1;RIN2;AIM2;ISG15;ITGAM;MAP3K7CL;PLAUR;SLC2A3;GPCPD1;CD83;IER5L
IRF8 KO MOUSE GSE39228 CREEDSID GENE 2195 DOWN,0.0,2.539894637811552,0.6805555982355473,36/102,10.58%,FCGR3A;JUNB;RGS2;CLEC7A;NEAT1;FGL2;P2RY13;TXNIP;ZFP36L1;HMOX1;SLC11A1;C1QA;LY96;C1QB;CX3CR1;SLC2A6;CKB;CD74;TNFAIP2;MARCKS;CLEC4E;GCH1;IFIT3;UPP1;SGMS2;C1QC;RASA3;CEBPB;PPP1R15A;LTB;SLC15A3;TLR6;SPI1;IFIT2;PLEKHO2;LILRA6
SRF KO MOUSE GSE34545 CREEDSID GENE 2884 UP,0.0,2.5163271182452984,0.6676666170939821,30/80,6.66%,TYROBP;FCGR3A;CTSS;TSC22D3;CLEC7A;CD68;CXCL16;PDK4;CYBB;KLF2;CD163;GIMAP4;MPEG1;TMEM176B;CLEC10A;C1QA;C1QB;CHST15;CD55;CD52;TIMP1;CD74;IL15;MARCKS;KLF4;IFIT3;TMEM176A;C1QC;RASA3;ALDH1A1
POU1F1 OE HUMAN GSE64101 CREEDSID GENE 2931 UP,0.0,2.464069032381465,0.6356886476976914,40/78,14.84%,CST3;JUNB;CXCL16;TXNIP;ZFP36;ZFP36L1;MCL1;CD55;TIMP1;NFKBIZ;CD74;IFITM3;KLF4;TNFAIP3;PRELID1;MT2A;IFIT3;SECTM1;CEBPB;CDKN1A;IFITM2;PPP1R15A;WARS;NFKBIA;JUN;UBC;TNF;B4GALT1;NBPF10;NBPF14;CXCR4;IFIT2;IER3;MX2;DDX58;ISG15;ECE1;PLAUR;OTUD1;CEBPD
NFE2L2 KO MOUSE GSE29632 CREEDSID GENE 2152 DOWN,0.0,2.454639228594954,0.714552362973271,18/46,12.33%,TYROBP;CTSS;CD68;PDK4;S100A4;TLR2;EVI2A;DDIT4;NFKBIZ;MARCO;MT2A;FPR1;ALDH1A1;SPI1;PLBD1;RASGEF1B;PLA2G4A;PLA2G16
CEBPG KO MOUSE GSE47777 CREEDSID GENE 3104 UP,0.0,2.44504352787187,0.6342803306188982,29/86,7.31%,TYROBP;FCGR3A;CTSS;CLEC7A;NEAT1;CD68;PDK4;CYBB;KLF2;MPEG1;OGFRL1;HMOX1;SLC11A1;C3AR1;C1QB;CD55;CD52;CD36;KLF4;MARCO;MT2A;GCH1;UPP1;FPR1;C1QC;CDKN1A;MSR1;ALDH1A1;NFKBIA
MECP2 MUT HUMAN GSE6955 CREEDSID GENE 2473 DOWN,0.0,2.4088757231053473,0.6593632858499493,34/74,11.49%,SAT1;TYROBP;SERPINA1;JUNB;RGS2;TNFRSF1B;ZFP36;DUSP6;FOS;ZFP36L1;TLR2;C1QB;MCL1;TIMP1;IFITM3;PLIN2;TNFAIP3;MT2A;SOD2;FOSB;NAMPT;CEBPB;LILRB3;CDKN1A;RTN1;ACSL1;NFKBIA;SDCBP;NR4A1;UBC;NCF1;CXCR4;CD14;PLD3
NCOA2 KO MOUSE GSE55002 CREEDSID GENE 199 DOWN,0.0,2.3897481885733294,0.6413438948923618,41/82,11.04%,TYROBP;FCGR3A;CTSS;JUNB;MAFB;CLEC7A;DUSP1;CD68;CFP;PDK4;CYBB;TNFRSF1B;TXNIP;KLF2;ZFP36;MPEG1;DUSP6;FOS;SLC11A1;C1QA;C1QB;CRIP1;DDIT4;CD52;CD74;ITGAL;MARCO;FPR1;C1QC;CEBPB;VSIG4;NFKBIA;JUN;TLR1;SLC15A3;ARRDC2;RAB8B;TM6SF1;CXCR4;IFIT2;IER2
KCNIP3 KO MOUSE GSE16874 CREEDSID GENE 1031 UP,0.0,2.379674543763979,0.6574651317646901,37/82,12.71%,SAT1;TYROBP;FCGR3A;CLEC7A;DUSP1;P2RY13;CYBB;TXNIP;RHOB;MPEG1;FOS;OGFRL1;HMOX1;EVI2A;SLC11A1;C3AR1;CKB;DDIT4;IFITM3;LGALS1;CD36;MARCO;PLIN2;CLEC4E;EVI5;UPP1;FPR1;TMEM154;ENTPD1;STAT2;CXCR4;CD14;SERPINB9;IFI44L;IER3;PLA2G16;ISG15
SETDB1 KO MOUSE GSE28593 CREEDSID GENE 2205 UP,0.0,2.3626816389083904,0.6604837528936873,33/73,14.16%,SAT1;CDKN1C;CXCL16;KLF6;ZFP36;RHOB;FOS;CLEC10A;CRIP1;LGALS1;IRS2;RIN3;SGMS2;PLEKHO1;CEBPB;JAZF1;SAMD4A;MAP3K8;JUN;JAK2;JDP2;ULK2;RHOQ;CSTB;ANXA1;MIR22HG;SERPINB9;THBS1;IER3;ITPRIPL2;ISG15;UBE2H;PLAUR
MAF OE MACROPHAGE HUMAN GSE98368 RNASEQ UP,0.0,2.3472654448094517,0.5542220120430883,83/182,15.64%,TYROBP;FCGR3A;CST3;RGS2;CD68;FGL2;CXCL16;TNFRSF1B;TXNIP;KLF6;TNFSF10;CD163;MPEG1;TMEM176B;CD300E;TLR2;HMOX1;SLC11A1;C3AR1;C1QA;CTSL;MCL1;DDIT4;TIMP1;IFITM3;LGALS1;MARCKS;RCBTB2;PLIN2;C5AR1;IFIT3;GBP1;ZFAND5;SOD2;NAMPT;CTSB;C1QC;IRF9;SECTM1;PLEKHO1;VSIG4;CDKN1A;WBP1L;IFITM2;CCR1;MSR1;FKBP5;LPAR6;ACSL1;CHMP1B;NFKBIA;SAMSN1;SDCBP;SLC15A3;UBC;B4GALT1;STAT2;SPI1;ANXA1;CXCR4;DMXL2;IFIT2;PLEKHO2;CD14;IFI44L;THBS1;IER3;PLD3;DAB2;MX2;TRAFD1;GIMAP6;DDX58;ISG15;ZEB2;MAF;PLAUR;PLEC;ZBTB7B;SLC2A3;TMEM127;ADORA3;SEC14L1
VDR KO MOUSE GSE2421 CREEDSID GENE 2719 UP,0.0,2.3453628525235777,0.6276551564188307,37/76,9.86%,TYROBP;CTSS;CST3;MS4A7;MAFB;RGS2;DUSP1;FGL2;CXCL16;CYBB;TXNIP;RHOB;MPEG1;TMEM176B;FOS;FGD2;S100A4;EVI2A;C3AR1;C1QA;CTSL;MCL1;LGALS1;CD36;TNFAIP2;MARCKS;BACH1;C1QC;RNF149;SDCBP;UBC;RHOQ;RAB8B;SPI1;TM6SF1;PLBD1;NCF1
VDR KO MOUSE GSE2421 CREEDSID GENE 1151 DOWN,0.0,2.3398921271063102,0.6943253063324792,32/56,11.49%,SAT1;FCGR3A;CST3;MS4A7;CLEC7A;NEAT1;CD68;CFP;CXCL16;CYBB;TMEM176B;HMOX1;EVI2A;SLC11A1;C3AR1;C1QA;C1QB;CKB;CD52;CD74;IFITM3;LGALS1;PLIN2;C5AR1;CTSB;C1QC;IFITM2;SLC15A3;GABARAPL1;ADAM17;CD14;PLD3
VDR KO MOUSE GSE2421 CREEDSID GENE 1153 UP,0.0,2.3349886391900903,0.6423918689296791,36/69,10.27%,SAT1;TYROBP;FCGR3A;CTSS;CST3;MS4A7;MAFB;CLEC7A;FGL2;CXCL16;TXNIP;RHOB;MPEG1;TMEM176B;FGD2;S100A4;TLR2;EVI2A;C3AR1;C1QA;MCL1;CD74;CD36;TNFAIP2;MARCKS;IFIT3;BACH1;RNF149;SDCBP;UBC;RHOQ;RAB8B;SPI1;TM6SF1;PLBD1;IFIT2
SP140 KD PBMC HUMAN GSE83381 RNASEQ DOWN,0.0,2.3344911489959466,0.5886147313622357,63/141,13.13%,CTSS;MAFB;CD68;HLA-DPA1;CYBB;TNFRSF1B;KLF6;BCL2A1;HLA-DQA1;OGFRL1;C3AR1;CTSL;SLC2A6;HLA-DRA;ITGAX;LGALS1;TNFAIP2;MARCKS;APOBEC3A;PLIN2;CLEC4E;TNFAIP3;HLA-DRB1;C5AR1;GCH1;IFIT3;GBP1;ZFAND5;SOD2;NAMPT;CTSB;CEBPB;LILRB3;CDKN1A;PPP1R15A;CCR1;WARS;ACSL1;VMP1;NFKBIA;MYO1G;JAK2;SDCBP;SLC15A3;CSGALNACT2;INSIG1;UBC;RAB8B;B4GALT1;STAT2;ANXA1;NCF1;DMXL2;IFIT2;PLEKHO2;LILRA6;SGK1;PLD3;MX2;DDX58;ISG15;GADD45B;ZEB2
NFE2L2 DEFICIENCY MOUSE GSE7810 CREEDSID GENE 1048 UP,0.0,2.3107132078212675,0.6421653066296659,31/64,8.11%,TYROBP;FCGR3A;CST3;CD68;CFP;CYBB;MPEG1;TMEM176B;FOS;TLR2;C3AR1;C1QA;CTSL;C1QB;CRIP1;CD52;TIMP1;IFITM3;LGALS1;CD36;MARCO;PLIN2;C5AR1;SOD2;CTSB;FPR1;C1QC;IFITM2;MSR1;NFKBIA;SLC15A3
FLI1 KD HUMAN GSE27524 CREEDSID GENE 1599 UP,0.0,2.280496307995072,0.6418792180860794,24/62,11.87%,SAT1;JUNB;FGL2;ZFP36;VCAN;FOS;S100A4;DDIT4;TNFAIP3;IFIT3;UPP1;NR4A2;DPYD;IRF9;RTN1;LPAR6;NLRP1;ATP2B1;GAS7;IFI44L;CTSO;IER3;DAB2;RIN2
XBP1 OE MOUSE GSE6980 CREEDSID GENE 1507 UP,0.0,2.2618420112456463,0.570151048187788,38/92,10.05%,SAT1;TYROBP;FCGR3A;CST3;TSC22D3;RGS2;CLEC7A;DUSP1;ID2;TXNIP;MPEG1;TMEM176B;S100A4;HMOX1;C1QA;C1QB;CRIP1;DDIT4;IFITM3;LGALS1;ITGAL;PRELID1;CTSB;C1QC;CEBPB;HERPUD1;IFITM2;FKBP5;RNF149;NFKBIA;JAK2;SSH2;NR4A1;RAB8B;B4GALT1;PLBD1;ANXA1;CXCR4
SP140 KD PBMC HUMAN GSE83381 RNASEQ UP,0.0,2.258644158332258,0.6682693757913818,20/42,6.66%,TYROBP;FCGR3A;CST3;CLEC7A;FGL2;TXNIP;CD163;MPEG1;TMEM176B;HLA-DPB1;C1QA;C1QB;CD74;IFITM3;ITGAL;MT2A;C1QC;SECTM1;IFITM2;ALDH1A1
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2302 DOWN,0.0,2.236517350875205,0.5877850766972007,36/91,13.39%,FCGR3A;CTSS;MS4A7;MAFB;CD68;CFP;VCAN;S100A4;HMOX1;SLC11A1;C3AR1;C1QA;C1QB;CX3CR1;TIMP1;LGALS1;MT2A;IFIT3;C1QC;VSIG4;CDKN1A;CCR1;MSR1;PTAFR;FKBP5;SH3BP2;IL1R2;STAT2;GAS7;PLEKHO2;IFI44L;THBS1;MX2;ISG15;ITGAM;CCR2
FOSL1 KO MOUSE GSE43695 CREEDSID GENE 2301 UP,0.0,2.236517350875205,0.5877850766972007,36/91,13.39%,FCGR3A;CTSS;MS4A7;MAFB;CD68;CFP;VCAN;S100A4;HMOX1;SLC11A1;C3AR1;C1QA;C1QB;CX3CR1;TIMP1;LGALS1;MT2A;IFIT3;C1QC;VSIG4;CDKN1A;CCR1;MSR1;PTAFR;FKBP5;SH3BP2;IL1R2;STAT2;GAS7;PLEKHO2;IFI44L;THBS1;MX2;ISG15;ITGAM;CCR2
E2F8 KO MOUSE GSE52157 CREEDSID GENE 2828 DOWN,0.0,2.2277945140097706,0.5518176915782889,45/107,16.59%,CTSS;CST3;RGS2;CFP;ID2;P2RY13;CYBB;ZFP36;GIMAP4;TMEM176B;DUSP6;EVI2A;SLC11A1;LY96;CRIP1;CHST15;ITGAX;CD52;CD74;ITGAL;MARCKS;BIRC3;RIN3;TMEM176A;RASA3;ALDH1A1;LRRK2;MYO1G;TLR1;LTB;TLR6;SPI1;PLBD1;RASGEF1B;CTSO;SLC9A9;GIMAP6;DDX58;GIMAP5;UBE2H;CD83;SLC44A2;TRPS1;MS4A1;EPHX1
GATA6 KO MOUSE GSE47049 CREEDSID GENE 2225 UP,0.0,2.220998167806213,0.6077405484437112,33/76,9.86%,SAT1;FCGR3A;TSC22D3;MAFB;TXNIP;CD163;DUSP6;S100A4;HMOX1;CLEC10A;SLC11A1;C1QA;CTSL;C1QB;CRIP1;MCL1;IFITM3;LGALS1;KLF4;MARCO;PLIN2;CTSB;FPR1;C1QC;CEBPB;IFITM2;SDCBP;SGPP1;UBC;RHOQ;RAB8B;CSTB;NCF1
VDR KO MOUSE GSE2421 CREEDSID GENE 1152 UP,0.0,2.2193620594551047,0.6304236700551353,30/60,9.59%,FCGR3A;CTSS;CST3;MS4A7;MAFB;RGS2;DUSP1;CD68;CXCL16;CYBB;RHOB;MPEG1;TMEM176B;FOS;S100A4;EVI2A;C3AR1;C1QA;CTSL;C1QB;IFITM3;LGALS1;CD36;PLIN2;IFIT3;RNF149;SDCBP;RHOQ;SPI1;TM6SF1
HEY2 KO MOUSE GSE6526 CREEDSID GENE 1512 DOWN,0.0,2.217013379358558,0.5977410848326526,33/69,12.48%,SAT1;JUNB;DUSP1;KLF6;ZFP36;RHOB;DUSP6;FOS;S100A4;HMOX1;CRIP1;MCL1;TIMP1;NFKBIZ;LGALS1;KLF4;TNFAIP3;MT2A;IER5;FOSB;CEBPB;CDKN1A;PPP1R15A;JUN;NR4A1;UBC;CSTB;MIR22HG;SGK1;IER2;IER3;SKIL;ITPRIPL2
HEY2 KO MOUSE GSE6526 CREEDSID GENE 1511 UP,0.0,2.217013379358558,0.5977410848326526,33/69,12.48%,SAT1;JUNB;DUSP1;KLF6;ZFP36;RHOB;DUSP6;FOS;S100A4;HMOX1;CRIP1;MCL1;TIMP1;NFKBIZ;LGALS1;KLF4;TNFAIP3;MT2A;IER5;FOSB;CEBPB;CDKN1A;PPP1R15A;JUN;NR4A1;UBC;CSTB;MIR22HG;SGK1;IER2;IER3;SKIL;ITPRIPL2
WT1 KO MOUSE GSE15326 CREEDSID GENE 2248 UP,0.0,2.2163028754345473,0.6129252935399492,27/73,11.38%,CST3;JUNB;LGALS2;RGS2;DUSP1;CXCL16;KLF2;ZFP36;FOS;ZFP36L1;TLR2;HMOX1;NFKBIZ;TNFAIP3;FOSB;CEBPB;PPP1R15A;NFKBIA;JUN;LTB;INSIG1;GABARAPL1;TNF;ANXA1;RASGEF1B;THBS1;IER3
NCOA1 KO HUMAN GSE28645 CREEDSID GENE 1244 UP,0.0,2.2143875700338724,0.5801951247981577,39/95,12.71%,CTSS;RGS2;HLA-DPA1;TNFSF10;HLA-DQA1;HMOX1;CRIP1;HLA-DRA;NFKBIZ;CD74;IL15;IRS2;KLF4;BIRC3;TNFAIP3;IFIT3;GBP1;HCAR3;SECTM1;JAZF1;PPP1R15A;WARS;ALDH1A1;MAP3K8;NFKBIA;JAK2;SLC15A3;GABARAPL1;TNF;CREBRF;CXCR4;IFIT2;PLA2G4A;IFI44L;CTSO;MX2;DDX58;AIM2;ISG15
NEUROG1 OE HUMAN GSE18296 CREEDSID GENE 1426 DOWN,0.0,2.2103647812115548,0.6356952435761382,24/60,11.34%,SAT1;CTSS;TNFSF10;VCAN;EVI2A;CHST15;DDIT4;NFKBIZ;SLC1A3;TNFAIP2;BIRC3;MT2A;SOD2;CTSB;CDKN1A;TLR4;LFNG;FAM198B;B4GALT1;PLA2G4A;TREM1;IFI44L;THBS1;CTSO
FLI1 KD HUMAN GSE27524 CREEDSID GENE 1596 UP,0.0,2.209791776193302,0.6153900963821971,22/64,11.87%,SAT1;JUNB;FGL2;ZFP36;VCAN;FOS;S100A4;DDIT4;TNFAIP3;NR4A2;DPYD;IRF9;RTN1;NLRP1;ATP2B1;GAS7;IFI44L;CTSO;IER3;ZC2HC1A;DAB2;RIN2
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ DOWN,0.0,2.198721836454758,0.5762027334416269,56/119,15.72%,TYROBP;FCGR3A;CTSS;CST3;FCN1;CD68;FGL2;CYBB;TNFRSF1B;TXNIP;MPEG1;HLA-DRB5;OGFRL1;FGD2;S100A4;HMOX1;HLA-DQB1;C3AR1;C1QA;RXRA;LGALS1;CD36;TNFAIP2;MARCKS;CTSB;C1QC;VSIG4;CCR1;MAP3K3;GPR34;LPAR6;TLR4;ENTPD1;SAMSN1;INSIG1;MAP3K1;FAM198B;UBC;GAS7;PLEKHO2;NFAM1;CD14;THBS1;KLF13;PLD3;DAB2;RIN2;SLC9A9;ITGAM;ZEB2;MAF;PLEC;NPL;CD93;ADORA3;TMEM164
ELF4 KO MOUSE GSE15324 CREEDSID GENE 2838 DOWN,0.0,2.1976765447351263,0.7739186538385766,16/26,11.04%,CTSS;JUNB;DUSP1;KLF6;ZFP36;FOS;CRIP1;LGALS1;KLF4;TNFAIP3;PPP1R15A;NFKBIA;JUN;NR4A1;UBC;IER2
AHR KO MOUSE GSE48130 CREEDSID GENE 1464 DOWN,0.0,2.194798234484881,0.6036538391742124,27/71,10.88%,SAT1;TYROBP;CTSS;TSC22D3;RGS2;NEAT1;DUSP1;CFP;CYBB;KLF6;MPEG1;DUSP6;TLR2;CTSL;MCL1;ITGAX;LGALS1;KLF4;PLIN2;FPR1;HERPUD1;RNF149;MYO1G;ANXA1;DUSP7;PISD;SGK1
FOXP3 INDUCTION MOUSE GSE35543 CREEDSID GENE 3036 UP,0.0,2.1888111980984677,0.6466122982926762,20/40,7.00%,TYROBP;FCGR3A;CD68;CFP;CD163;MPEG1;TMEM176B;HMOX1;C1QA;C1QB;CKB;CD55;CD74;IFITM3;MARCKS;MARCO;IFIT3;TMEM176A;C1QC;GPR34
NEUROD1 KO MOUSE GSE35396 CREEDSID GENE 3089 DOWN,0.0,2.186654546321607,0.7222125956782165,8/26,3.42%,SAT1;TYROBP;FCGR3A;CTSS;NEAT1;C1QB;CD52;CD74
IRF1 OE HUMAN GSE26817 CREEDSID GENE 2502 UP,0.0,2.1844667128657584,0.567519733908579,35/94,12.71%,CTSS;TXNIP;TNFSF10;NFKBIZ;CD74;IFITM3;LGALS1;IL15;TNFAIP2;BIRC3;TNFAIP3;MT2A;GCH1;IFIT3;GBP1;DPYD;IRF9;IFITM2;WARS;MAP3K8;LPAR6;JAK2;SLC15A3;TBC1D9;STAT2;ANXA1;IFIT2;TMEM62;UBR2;IFI44L;CTSO;TRAFD1;PLA2G16;DDX58;ISG15
SATB1 KO MOUSE GSE44107 CREEDSID GENE 1504 DOWN,0.0,2.1842825702329556,0.7137152548376394,16/27,15.18%,P2RY13;CYBB;CD52;LGALS1;CD36;C5AR1;FPR1;MSR1;PLBD1;ANXA1;LILRA6;FCER1A;ITGAM;CCR2;CD300LF;TLR8
ZFX KD HUMAN GSE43021 CREEDSID GENE 157 UP,0.0,2.183270141972249,0.6201225662426072,34/79,15.18%,SAT1;TYROBP;FCN1;FGL2;CYBB;TNFRSF1B;TXNIP;MPEG1;HLA-DPB1;S100A4;HLA-DQB1;CX3CR1;HLA-DRA;ITGAX;CD52;FGD4;CD74;LRRK2;ENTPD1;PAG1;PLXNC1;SDCBP;MAP3K1;TLR6;RAB8B;NBPF10;PLBD1;ZSWIM6;STS;ITGAM;PLAUR;SLC2A3;GPCPD1;TLR8
FLI1 KD HUMAN GSE27524 CREEDSID GENE 1602 UP,0.0,2.1788425908578177,0.5912894143085246,31/68,21.08%,SAT1;FGL2;VCAN;S100A4;HMOX1;CHST15;DDIT4;MARCKS;MT2A;DPYD;IRF9;WBP1L;RTN1;INSIG1;NLRP1;ATP2B1;GAS7;PLA2G4A;IFI44L;CTSO;ZC2HC1A;MAP3K7CL;UBE2H;SLC2A3;TRPS1;HS1BP3;GSTT1;TPK1;CCPG1;CDC42EP3;ACPP
