TF,fdr,nes,es,tag %,gene %,lead_genes
NR1I3 KNOCKIN MOUSE GSE40120 CREEDSID GENE 3069 UP,0.0,2.436613239805669,0.7162085319567276,32/65,8.25%,DUSP1;JUNB;ZFP36L1;FOS;RHOB;JUN;NAMPT;GLUL;ZFP36;SAT1;IER2;FN1;EGR1;CD14;HMOX1;KLF2;MARCO;CDKN1A;JMJD1C;PLIN2;CEBPD;TIMP1;SKIL;HERPUD1;SOCS3;IFRD1;DDIT4;THBD;BTG2;NFKBIZ;IER3;MT2A
MYB OE HUMAN GSE2816 CREEDSID GENE 2154 DOWN,0.0,2.3188085483443097,0.6648571101303055,63/124,11.37%,HLA-DPA1;HLA-DRA;MAFB;TMEM176B;CD74;HLA-DRB1;NAMPT;HLA-DQA1;IFITM3;KLF6;ZFP36;SAT1;CLEC4E;HLA-DRB5;NFKBIA;CTSB;CXCL16;PPP1R15A;KLF4;CTSS;SERPINA1;LY96;CD14;MARCKS;CCL3;TXNIP;TIMP1;CD83;PELI1;PFKFB3;C3AR1;SGK1;TNFAIP2;OGFRL1;CSF2RB;GADD45B;SDCBP;FCN1;LHFPL2;TBC1D9;ANXA1;MIR22HG;IER5;CD63;RIN2;TNFAIP3;TFRC;APOBEC3A;BIRC3;IER3;PPIF;ATP1B3;ITGAV;PNRC1;CCR1;SLC2A6;PLA2G7;RAB13;BCL2A1;CYBB;TUBA1B;SOD2;WARS
STAT3 DEFICIENCY MOUSE GSE6846 CREEDSID GENE 85 DOWN,0.0,2.3010291610628397,0.7289755388895451,27/49,11.14%,FOSB;DUSP1;JUNB;FOS;TMEM176B;RHOB;JUN;KLF6;TMEM176A;ZFP36;IER2;NFKBIA;CRIP1;EGR1;KLF2;PLIN2;TXNIP;SOCS3;ALDH1A1;DDIT4;BTG2;IER3;PNRC1;PHC2;CDKN1C;TUBA1B;UBC
FOXO1 KD MOUSE GSE6623 CREEDSID GENE 505 DOWN,0.0,2.269389811675724,0.711975761150074,31/65,9.39%,DUSP6;FOSB;DUSP1;ZFP36L1;FOS;RHOB;JUN;GLUL;KLF6;ZFP36;SAT1;NFKBIA;EGR1;MCL1;JUND;CCL3;SKIL;RGS2;ZFAND5;SGK1;SOCS3;IFRD1;TNFAIP2;ALDH1A1;DDIT4;TNFAIP3;NFKBIZ;IER3;MT2A;HSP90AA1;PNRC1
SOX9 OE MOUSE GSE34060 CREEDSID GENE 2743 UP,0.0,2.195257580011283,0.6587610593589744,26/63,9.13%,FOSB;DUSP1;FOS;TMEM176B;RHOB;JUN;KLF6;ZFP36;IER2;NFKBIA;CXCL16;EGR1;TGIF1;CD14;MARCKS;MCL1;RGS2;ZFAND5;CD9;GADD45B;BTG2;NFKBIZ;IER3;HSP90AA1;SGMS2;ITGAV
PPARA KO MOUSE GSE6864 CREEDSID GENE 1371 DOWN,0.0,2.1900336735946637,0.6996386163526706,22/44,11.14%,FOS;ZFP36;SAT1;LGALS2;NFKBIA;KLF4;CTSS;CRIP1;CDKN1A;TXNIP;SKIL;SGK1;HERPUD1;IFRD1;CYP27A1;ALDH1A1;TCN2;CDKN2B;MT2A;PNRC1;TUBA1B;UBC
PPARA KO MOUSE GSE6864 CREEDSID GENE 981 UP,0.0,2.184484703395953,0.6919037496178837,22/45,11.14%,FOS;ZFP36;SAT1;LGALS2;NFKBIA;KLF4;CTSS;CRIP1;CDKN1A;TXNIP;SKIL;SGK1;HERPUD1;IFRD1;CYP27A1;ALDH1A1;TCN2;CDKN2B;MT2A;PNRC1;TUBA1B;UBC
HEY2 KO MOUSE GSE6526 CREEDSID GENE 1511 UP,0.0,2.18248929717073,0.6722384346998586,34/69,8.44%,DUSP6;FOSB;DUSP1;JUNB;FOS;RHOB;JUN;KLF6;ZFP36;SAT1;IER2;PPP1R15A;KLF4;CRIP1;EGR1;HMOX1;MCL1;JUND;CDKN1A;NR4A1;TIMP1;SKIL;SGK1;SOCS3;IFRD1;MIR22HG;BTG2;IER5;PLAUR;TNFAIP3;NFKBIZ;IER3;MT2A;HSP90AA1
HEY2 KO MOUSE GSE6526 CREEDSID GENE 1512 DOWN,0.0,2.18248929717073,0.6722384346998586,34/69,8.44%,DUSP6;FOSB;DUSP1;JUNB;FOS;RHOB;JUN;KLF6;ZFP36;SAT1;IER2;PPP1R15A;KLF4;CRIP1;EGR1;HMOX1;MCL1;JUND;CDKN1A;NR4A1;TIMP1;SKIL;SGK1;SOCS3;IFRD1;MIR22HG;BTG2;IER5;PLAUR;TNFAIP3;NFKBIZ;IER3;MT2A;HSP90AA1
VDR OE HUMAN GSE5145 CREEDSID GENE 2944 DOWN,0.0,2.176512582636246,0.6812310894466646,21/59,8.17%,MAFB;JUNB;FOS;NAMPT;KLF6;IER2;NR4A2;PDK4;ARL4A;MAP3K8;EGR1;ARRDC4;CEBPD;METTL7A;SGK1;IRS2;MRVI1;PDP1;PLCB1;NFKBIZ;IER3
XBP1 KO MOUSE GSE52857 CREEDSID GENE 2765 UP,0.0,2.175399484821221,0.7472154730210201,11/37,3.27%,FOSB;DUSP1;FOS;RHOB;JUN;TSC22D3;IER2;KLF4;EGR1;CCL3;CDKN1A
NCOA2 KO MOUSE GSE55002 CREEDSID GENE 199 DOWN,0.0,2.157688594354542,0.6457556487372427,38/82,10.99%,DUSP6;VSIG4;MAFB;DUSP1;JUNB;FOS;CD74;JUN;GLUL;CLEC7A;ZFP36;IER2;PDK4;NFKBIA;CTSS;CRIP1;EGR1;KLF2;MARCO;TNFRSF1B;C1QA;CFP;TXNIP;CD52;SLC11A1;MPEG1;CD68;FCGR3A;IFRD1;DDIT4;ARRDC2;ATP1B3;C1QC;PLA2G7;ARHGEF3;TLR1;CYBB;TUBA1B
AHR KO MOUSE GSE10082 CREEDSID GENE 1465 UP,0.0,2.1450895654287723,0.7088645890701285,18/49,8.25%,DUSP6;MAFB;ZFP36L1;TMEM176B;JUN;NAMPT;CLEC7A;TMEM176A;SAT1;PDK4;HMOX1;ARRDC4;MPEG1;SGK1;IRS2;DDIT4;BTG2;MT2A
NFKB1 ACTIVATION HUMAN GSE20736 CREEDSID GENE 2522 DOWN,0.0,2.1402288831481986,0.6914262535560968,16/41,9.43%,FOSB;JUNB;FOS;RHOB;GLUL;ZFP36;SLC1A3;IER2;EGR1;TXNIP;RGS2;CREB5;BTG2;NPL;HSPA6;GAS7
SRF KO MOUSE GSE7412 CREEDSID GENE 1238 DOWN,0.0,2.139369986097376,0.6607363566713768,23/53,8.44%,JUNB;ZFP36L1;FOS;CD74;RHOB;JUN;TSC22D3;KLF6;ZFP36;IER2;PPP1R15A;KLF4;EGR1;KLF2;JUND;NR4A1;GIMAP4;CD83;IRS2;GIMAP6;RHOQ;PLAUR;HSP90AA1
WT1 KO MOUSE GSE15326 CREEDSID GENE 2248 UP,0.0,2.1165845737299,0.645949252696471,26/73,13.73%,FOSB;DUSP1;JUNB;ZFP36L1;FOS;JUN;ZFP36;LGALS2;NFKBIA;CXCL16;PPP1R15A;EGR1;HMOX1;KLF2;RGS2;ANXA1;BTG2;TNFAIP3;NFKBIZ;CDC42EP2;IER3;ST8SIA4;INSIG1;ARRB1;RASGEF1B;GABARAPL1
MECP2 MUT HUMAN GSE6955 CREEDSID GENE 2473 DOWN,0.0,2.113549915968523,0.6575032442108677,34/74,11.14%,DUSP6;FOSB;JUNB;ZFP36L1;FOS;NAMPT;IFITM3;ZFP36;SAT1;NFKBIA;SERPINA1;CD14;MCL1;JUND;CCL3;TNFRSF1B;CDKN1A;NR4A1;PLD3;PLIN2;CEBPD;TIMP1;RGS2;HIST2H2AA3;SDCBP;PLCB1;RTN1;TNFAIP3;MT2A;HSP90AA1;ATP1B3;TUBA1B;SOD2;UBC
PPARA DEFICIENCY MOUSE GSE6864 CREEDSID GENE 659 UP,0.0,2.1006371009107996,0.6773973079152303,19/40,13.99%,DUSP6;FOS;JUN;NEAT1;ZFP36;SAT1;NFKBIA;KLF4;CTSS;CRIP1;SKIL;VMP1;IFRD1;TCN2;CDKN2B;PNRC1;TUBA1B;ARRB1;GABARAP
ZXDC DEPLETION HUMAN GSE45417 CREEDSID GENE 3044 DOWN,0.0,2.082028912840951,0.5943493699150684,48/125,11.44%,DUSP6;VSIG4;MAFB;ZFP36L1;FOS;JUN;ZFP36;SAT1;CD163;CTSB;CXCL16;PPP1R15A;GPR34;LY96;MAP3K7CL;CD14;C5AR1;CCL3;TNFRSF1B;CDKN1A;CD52;TREM1;TIMP1;CD68;RGS2;CD83;C3AR1;SGK1;CYP27A1;DDIT4;ANXA1;MIR22HG;THBD;RIN2;PLAUR;TNFAIP3;AQP9;TRIB1;IER3;MT2A;CLIP4;CCR1;UPP1;ARHGEF3;TLR1;RAB13;BCL2A1;KCNE1
SUZ12 SHRNA PROE HUMAN GSE59089 RNASEQ UP,0.0,-2.1677757925725687,-0.5663326645441004,23/70,8.59%,MT-ND4;MT-ATP6;MT-ND2;PADI4;MT-ND1;S100P;MT-ND4L;CTSD;AZU1;CST7;QSOX1;CTSG;GPR160;PRTN3;ELANE;MKI67;FOLR3;NISCH;ULK1;MPO;NUCB2;LBR;MS4A3
