TF,fdr,nes,es,tag %,gene %,lead_genes
MYB OE HUMAN GSE2816 CREEDSID GENE 2154 DOWN,0.0,2.5444449245994343,0.6767280512768199,76/124,14.65%,PFKFB3;THBS1;BCL2A1;IFI6;BIRC3;IFI44L;NAMPT;APOBEC3A;CLEC4E;TLR2;IFITM3;CD83;PPIF;SOD2;MARCKS;HLA-DRB5;NFKB1;CXCL16;GADD45B;WARS;CCL4;MAFB;ACSL1;PNRC1;IL1RN;SERPINA1;CCL3;ISG15;SIGLEC1;NR4A3;TNFAIP6;ATP1B3;LHFPL2;PLEKHF2;C3AR1;IFITM2;CEBPB;CTSS;CD14;SLC15A3;TNFAIP2;NFKBIA;TNFAIP3;TFRC;TIMP1;SDCBP;MX2;OAS2;WTAP;IFIT1;BASP1;GBP1;ATF3;XAF1;B4GALT5;CTSB;IFIT3;ITGAV;RIN2;MX1;PELI1;RSAD2;CYP1B1;SLC2A6;MIR22HG;GPNMB;LY96;IER3;TBC1D9;IFIT2;GABARAP;IL7R;SGK1;NPTN;KLF6;HLA-DPA1
MYC OE MOUSE GSE55272 CREEDSID GENE 1826 UP,0.0,2.458982173374311,0.6873698667162281,37/66,13.70%,IL1B;CXCL2;ITGAX;C5AR1;PLAUR;ICAM1;GADD45B;SLC11A1;OLR1;CDKN1A;IL1RN;CCL3;MS4A7;NR4A3;TNFAIP6;HPSE;IL1R2;CTSS;SLC15A3;TNFAIP2;INSIG1;TIMP1;BCL3;NFIL3;ATF3;MPEG1;ANPEP;B4GALT5;CLEC4D;GPNMB;CSF3R;DPEP2;IER3;PTX3;CD68;RGS1;IL7R
ZXDC DEPLETION HUMAN GSE45417 CREEDSID GENE 3044 DOWN,0.0,2.435276664595307,0.6302490307569971,61/125,14.04%,AQP9;BCL2A1;IFI6;IL1B;CD163;CCL20;ITGAX;MMP19;C5AR1;PLAUR;ZFP36L1;CD83;ICAM1;CXCL16;TNFRSF1B;THBD;CCL4;MAFB;OLR1;CDKN1A;HES1;DUSP6;CCL3;SLC16A6;ISG15;PHLDA1;RGS2;NR4A3;UPP1;C3AR1;CEBPB;AREG;CD14;ITGAL;CD52;TNFAIP3;TIMP1;TREM1;NFIL3;GPCPD1;GABARAPL1;ATF3;MXD1;MAP3K7CL;CLIP4;CTSB;IFIT3;RIN2;VSIG4;IRF9;MIR22HG;GPNMB;LY96;IER3;CYP27A1;MAP4K3;APOC1;CD68;RGS1;IL7R;SGK1
SP140 KD PBMC HUMAN GSE83381 RNASEQ DOWN,0.0,2.3264773222293016,0.5933635854906747,78/141,15.87%,PFKFB3;BCL2A1;GK;NAMPT;ITGAX;APOBEC3A;C5AR1;CLEC4E;PLAUR;CD83;SOD2;MARCKS;VMP1;ICAM1;GADD45B;TNFRSF1B;WARS;ATP13A3;CCL4;MAFB;ACSL1;CDKN1A;IL1RN;CCL3;ISG15;SIGLEC1;MDM2;TNFAIP6;LHFPL2;C3AR1;PLIN2;CEBPB;DMXL2;CTSS;CTSL;SLC15A3;TNFAIP2;NFKBIA;INSIG1;TNFAIP3;TFRC;SDCBP;MX2;WTAP;MT-ND6;GBP1;GCH1;GLUL;MYO9B;ATF3;MXD1;ANPEP;B4GALT1;B4GALT5;CTSB;DDX60L;RAB20;IFIT3;MX1;STAT2;RSAD2;CYP1B1;SLC2A6;GPNMB;PICALM;CYP27A1;IFIT2;ZFYVE16;ZEB2;CD68;SGK1;KLF6;HLA-DPA1;CSGALNACT2;IL32;ACP5;PLA2G7;HLA-DRB1
MAF OE MACROPHAGE HUMAN GSE98368 RNASEQ UP,0.0,2.237278839306015,0.5472836220629297,77/182,10.92%,PFKFB3;THBS1;IFI6;IL1B;CD300E;CD163;IFI44L;NAMPT;MMP19;C5AR1;TLR2;PLAUR;IFITM3;ELL2;SOD2;MARCKS;CREM;ICAM1;CXCL16;TNFRSF1B;FKBP5;SLC11A1;FCGR3A;ATP13A3;CCL4;ACSL1;CDKN1A;IL1RN;CCL3;ISG15;SIGLEC1;RGS2;LHFPL2;HPSE;C3AR1;IFITM2;FGL2;PLIN2;DMXL2;CD14;CTSL;SLC15A3;NFKBIA;TIMP1;SDCBP;MX2;CHMP1B;OAS2;NFIL3;IFIT1;C1QA;GBP1;MOB3A;MSR1;GLUL;MYO9B;MPEG1;FOSL2;XAF1;MXD1;C1QC;B4GALT1;CTSB;IFI27;IFNGR2;IFIT3;SDC2;VSIG4;MX1;IRF9;STAT2;SECTM1;RSAD2;TMEM127;CYP1B1;IER3;PICALM
NEUROG1 OE HUMAN GSE18296 CREEDSID GENE 1426 DOWN,0.0,2.2233300136499703,0.6345346589152712,28/60,20.70%,THBS1;CXCL2;BIRC3;IFI44L;VEGFA;SOD2;ICAM1;NFKBIZ;CDKN1A;CTSS;TNFAIP2;SLC1A3;TREM1;CHST15;ANPEP;B4GALT1;CTSB;FN1;DSC2;UACA;IL32;MMP9;TLR4;ZC3H12A;CCPG1;MT2A;ITGA5;LFNG
IRF8 KO MOUSE GSE39228 CREEDSID GENE 2195 DOWN,0.0,2.222358803448794,0.6160386534208655,46/102,15.49%,AQP9;IL1B;CDC42EP2;CLEC7A;CLEC4E;ZFP36L1;MARCKS;ICAM1;SLC11A1;FCGR3A;CCL4;SOCS3;ISG15;RGS2;UPP1;FGL2;CEBPB;SLC15A3;TNFAIP2;STK40;BCL3;OAS2;C1QA;GCH1;C1QB;ATF3;SGMS2;C1QC;CLEC4D;ANKRD37;IFIT3;RSAD2;SLC2A6;CSF3R;LY96;PICALM;HGSNAT;CYP27A1;SEC14L1;RELB;AGPAT4;IFIT2;MEFV;DENND3;CKB;PLA2G7
NFKB1 KD HUMAN GSE65363 CREEDSID GENE 1558 DOWN,0.0,2.221275132250117,0.7018022972827918,15/38,7.27%,IL1B;CCL20;CXCL3;PLAUR;SOD2;ICAM1;FKBP5;NFKBIZ;PTGS2;DUSP6;CCL3;SLC16A6;EREG;NFKBIA;GLUL
DUX4 OE HUMAN GSE33799 CREEDSID GENE 1430 UP,0.0,2.197879805701246,0.6430308700760989,30/74,11.04%,IFI6;BIRC3;IFI44L;CCL20;IFITM3;SOD2;GADD45B;CDKN1A;ISG15;RGS2;MDM2;FGD4;SLC15A3;NFKBIA;MX2;OAS2;IFIT1;GBP1;XAF1;S1PR3;IFI27;DDX60L;IFIT3;MX1;IRF9;STAT2;RSAD2;TRIM5;LY96;ZBTB16
MAF SIRNA MACROPHAGE HUMAN GSE98368 RNASEQ UP,0.0,2.1874768481430458,0.6102714162604452,36/59,11.49%,IFI6;CD163;NAMPT;ITGAX;PLAUR;CD83;SOD2;ICAM1;WARS;ATP13A3;MAFB;ACSL1;OLR1;CDKN1A;SERPINA1;PHLDA1;LHFPL2;PLIN2;CTSL;NFKBIA;CD52;TFRC;SDCBP;CLEC5A;GLUL;ID2;ANPEP;IFNGR2;SDC2;CYP1B1;MARCO;CD9;IER3;FN1;FPR1;CYP27A1
