TF,fdr,nes,es,tag %,gene %,lead_genes
CEBPG KO MOUSE GSE47777 CREEDSID GENE 3104 UP,0.0,2.3020078003991076,0.7749814991712074,42/86,7.98%,IER3;FCGR3A;CXCL2;CXCL3;NEAT1;CCL3;ATF3;CD14;NFKBIA;SLC11A1;MSR1;CYBB;KLF4;CDKN1A;CCL2;CTSS;THBD;STAB1;HMOX1;MARCO;UPP1;PFKFB3;CXCL1;C3AR1;CLEC7A;FPR1;CD36;ICAM1;AREG;CD52;PTGS2;ADM;CD55;GLUL;C1QC;PDK4;DMXL2;C1QB;RAB20;EREG;MPEG1;TIPARP
CEBPA KO MOUSE GSE61468 CREEDSID GENE 1476 UP,0.0,2.2417469222313984,0.7574234142303682,37/66,13.73%,CXCL2;ZFP36;ZFP36L1;ATF3;TNFAIP3;NFKBIA;RGS1;PPP1R15A;JUNB;MARCKS;GADD45B;PHLDA1;FOSB;RASGEF1B;SKIL;UPP1;SDC2;KLF6;NFKBIZ;BTG2;EGR1;PDE4B;KDM6B;IER2;HES1;ARL5B;IL1R2;PELI1;JUN;MAPK6;DUSP6;BCL3;JUND;SIPA1L1;SMAD7;GIMAP5;EGR2
MYB OE HUMAN GSE2816 CREEDSID GENE 2154 DOWN,0.0,2.2001252029186213,0.7055476626173987,84/124,17.72%,IER3;NAMPT;ZFP36;CD83;BCL2A1;CCL3;ATF3;TNFAIP3;CD14;NFKBIA;SGK1;MAFB;LGMN;PPP1R15A;MARCKS;GADD45B;SERPINA1;THBS1;CYBB;KLF4;TIMP1;CCL2;CTSS;SOD2;SAMSN1;NR4A3;PFKFB3;LHFPL2;KLF6;CEBPB;C3AR1;CCL4;SDCBP;TMEM176B;TNFAIP2;CXCL16;FCN1;PNRC1;ACSL1;PLA2G7;G0S2;ADM;SIGLEC1;SAT1;CTSB;IL1RN;MIR22HG;HLA-DPA1;PPIF;TLR2;CYP1B1;BIRC3;ATP1B3;LAMP1;SLC15A3;HLA-DRB5;NFKB1;PELI1;IL1R1;APOBEC3A;OGFRL1;IFI44L;HLA-DRA;MX2;OTUD1;BASP1;TXNIP;BRI3;TFRC;LY96;RIN2;IFIT3;IFIT2;HCAR3;SLC2A6;IFIT1;ISG15;SERPINB2;XAF1;IL7R;CCR1;TNFAIP6;GBP1;MX1
ZXDC DEPLETION HUMAN GSE45417 CREEDSID GENE 3044 DOWN,0.0,2.1595529796559654,0.6875999696619959,64/125,11.29%,IER3;OLR1;VSIG4;C5AR1;PLAUR;ZFP36;CD83;CD163;ZFP36L1;BCL2A1;IL1B;CCL3;ATF3;TNFAIP3;CD14;SGK1;MAFB;RGS1;PPP1R15A;RGS2;PHLDA1;AQP9;CDKN1A;TIMP1;CCL2;THBD;FOS;NR4A3;UPP1;CEBPB;C3AR1;GABARAPL1;CCL4;GPR34;TNFRSF1B;CD36;CCL20;CXCL16;DDIT4;ICAM1;SLC2A3;AREG;MXD1;A2M;TREM1;CD52;ADM;CD55;SAT1;METRNL;CTSB;MIR22HG;HES1;ITGAX;NFIL3;GPCPD1;RGCC;JUN;CYP27A1;MMP19;DUSP6;MAP3K7CL;KCNE1;BCL6
WT1 KO MOUSE GSE15326 CREEDSID GENE 2248 UP,0.0,2.14479812210179,0.7163903810624346,36/73,11.67%,IER3;CXCL2;CXCL3;ZFP36;ZFP36L1;DUSP1;ATF3;TNFAIP3;NFKBIA;PPP1R15A;JUNB;RGS2;THBS1;FOSB;RASGEF1B;CCL2;FOS;HMOX1;CXCL1;CEBPB;GABARAPL1;NFKBIZ;CCL20;CXCL16;HBEGF;BTG2;EGR1;INSIG1;RNASE1;TLR2;ST8SIA4;JUN;KLF2;IFNGR2;TNF;CDC42EP2
PPARG DEFICIENCY MOUSE GSE23421 CREEDSID GENE 1231 UP,0.0,2.131059424362599,0.744827125454926,41/66,16.39%,CXCL2;CXCL3;IL1B;ATF3;CD14;LGMN;JUNB;THBS1;CYBB;MAP3K8;TIMP1;CCL2;SOCS3;UPP1;CXCL1;C3AR1;CLEC7A;NR4A1;CCL20;ICAM1;AREG;EGR1;PTGS2;ADM;IL1RN;CLEC10A;EREG;SLC15A3;NFIL3;IL1R2;CH25H;PTX3;MSL3;LY96;CFP;ITGAM;ALOX5AP;B3GNT5;IFIT2;ADAM8;ISG15
ZNF207 OE HUMAN GSE9951 CREEDSID GENE 1581 DOWN,0.0,2.0906306722720793,0.6970530310842467,61/95,19.92%,OLR1;CXCL2;CXCL3;PLAUR;NAMPT;CD83;BCL2A1;IL1B;DUSP1;NR4A2;TNFAIP3;SGK1;RGS2;ELL2;PHLDA1;THBD;FOS;CHMP1B;VEGFA;PFKFB3;CXCL1;CCL20;HBEGF;ACSL1;PTGS2;G0S2;ADM;CD55;INSIG1;METRNL;MIR22HG;PPIF;EREG;NFKB1;EHD1;ARL5B;RGCC;IL1R1;APOBEC3A;MAP3K7CL;CDC42EP2;PPARD;KCNJ15;CREB5;PTX3;ITPRIP;SNX30;RASSF3;CHST15;PANX1;KDM7A;SERPINB2;GBP1;NHS;SGMS2;JAZF1;STARD4;ZNRF2;TSHZ3;EGR3;LFNG
ZBTB7A KO MOUSE GSE41839 CREEDSID GENE 2380 UP,0.0,2.077722493277621,0.7180440317268466,29/66,11.63%,IER3;CXCL2;ZFP36;IL1B;DUSP1;CCL3;ATF3;FN1;CD14;RGS1;JUNB;FOSB;KLF4;FOS;SOCS3;NFKBIZ;FGL2;DDIT4;PTGS2;MIR22HG;HES1;CLEC10A;HPSE;ITGAX;OSM;JUN;KLF2;MX2;TRPS1
GTF2I KO MOUSE GSE48790 CREEDSID GENE 1452 DOWN,0.0,2.0684446156776852,0.7629343852183119,21/47,9.85%,IER3;OLR1;PLAUR;ZFP36;JUNB;THBS1;PHLDA1;TIMP1;FOS;NR4A1;CCL20;HBEGF;FGL2;EGR1;PTGS2;IL1RN;MIR22HG;EREG;ZSWIM6;RGCC;MNDA
MAF OE MACROPHAGE HUMAN GSE98368 RNASEQ UP,0.0,2.0654910020799973,0.6472467355231831,109/182,17.72%,IER3;FCGR3A;VSIG4;C5AR1;PLAUR;NAMPT;CD163;IL1B;CCL3;PLIN2;CD14;NFKBIA;LGMN;SLC11A1;MARCKS;RGS2;DAB2;CTSL;MSR1;ELL2;THBS1;CDKN1A;TIMP1;CCL2;SOD2;ADORA3;CHMP1B;HMOX1;SAMSN1;CREM;PFKFB3;SDC2;LHFPL2;KLF6;C3AR1;CCL4;MCL1;SDCBP;TNFRSF1B;TMEM176B;CXCL16;LPAR6;FGL2;DDIT4;ICAM1;SLC2A3;MXD1;MAF;IVNS1ABP;ACSL1;RCBTB2;C1QA;PLA2G7;SIGLEC1;GLUL;PLTP;METRNL;CTSB;IL1RN;CD300E;ATP13A3;C1QC;ZEB2;DMXL2;RNASE1;TLR2;CYP1B1;CXCR4;FOLR2;HPSE;TCN2;MPEG1;LAMP1;SLC15A3;ZFAND5;FOSL2;NFIL3;MYO9B;CTNNB1;MMP19;IFNGR2;IFI44L;MX2;SLC36A1;TXNIP;B4GALT1;PICALM;FKBP5;FURIN;ARAP1;TMEM30A;IFIT3;NISCH;C2;DDX58;IFIT2;WBP1L;RNF135;SEC14L1;IFIT1;ISG15;TOM1;PANX1;PLEKHO2;SERPINB2;XAF1;CCR1;GBP1;MX1
STAT1 DEFICIENT MOUSE GSE48970 CREEDSID GENE 1521 UP,0.0,2.0544366682083246,0.7261708867907021,16/44,9.77%,OLR1;CXCL2;VSIG4;CD83;IL1B;IL10;RGS1;FPR1;SERPINB9;FGL2;PTGS2;CD55;CD300E;BIRC3;UBXN2B;IL1R1
NCOA2 KO MOUSE GSE55002 CREEDSID GENE 199 DOWN,0.0,2.0363357894297605,0.7128983932196052,45/82,12.62%,FCGR3A;VSIG4;ZFP36;DUSP1;ATF3;NFKBIA;MAFB;RGS1;LGMN;SLC11A1;JUNB;CYBB;CTSS;FOS;MARCO;CXCL1;CEBPB;CLEC7A;FPR1;TNFRSF1B;DDIT4;EGR1;CD52;C1QA;PLA2G7;IER2;GLUL;PLTP;C1QC;PDK4;C1QB;CXCR4;FOLR2;ATP1B3;MPEG1;SLC15A3;JUN;MNDA;KLF2;TM6SF1;DUSP6;RAB8B;PPP1R3B;IFRD1;TXNIP
